userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemLDh7R,0.0006104969652369618) (itemWngsI,0.0005282505881041288) (itemVZJC8,0.0004587386501953006) (itemKe2Er,0.00040270842146128416) (iteme1aEV,0.00036529687349684536) (itemPzRe5,0.0002741781354416162) (itemvjUdv,0.00026935897767543793) (itemwinns,0.00021738107898272574) (item6TcLl,0.00019649896421469748)* (itemsF3jV,0.00017812549776863307) (item0rrNz,0.00016997924831230193) (itemTAGOA,0.0001650314370635897) (itemVARpF,0.00016324588796123862) (itemx52zm,0.00015398529649246484)* (itemwrPNe,0.00015181303024291992) (item4p3W3,0.00014177516277413815) (itemdqVVX,0.00012627564137801528) (itemllUul,0.00011374056339263916) (itemJyBn3,0.00011074786743847653)* (itemVHyMp,0.00010827100049937144)
userts7VL: (itemBmrIx,0.0004626388836186379) (item0QA86,0.00033508133492432535) (itemy6Af3,0.00031313265208154917) (itemTAGOA,0.0003049115475732833) (itemaTHnd,0.0002821369853336364) (itemLPkI9,0.00022480307961814106) (itema506d,0.00021303558605723083) (itemCVpf3,0.0002053211792372167) (itemWeaex,0.00019860711472574621) (itemvpxYm,0.00019708476611413062) (itemjmSae,0.00019706787134055048) (item2FMEC,0.00019249669276177883) (itemCmV8W,0.00019113533198833466) (item6hTeJ,0.00017906109860632569) (itemh9nHh,0.00017759088950697333) (itemg6NgV,0.00017396989278495312) (itemBuZOt,0.00017255471902899444) (itemVda4U,0.0001588611485203728) (itemd7GN3,0.0001568470906931907)* (itemcvY2p,0.00014703981287311763)
user7igOt: (itemmMX2p,0.000366580905392766) (itemcVs96,0.00036476238165050745)* (itemSEVUh,0.0002109744236804545) (itemjIyZN,0.00017251435201615095) (itemsB45O,0.00015193034778349102)* (itemEzeNr,0.00014651077799499035)* (itemBuZOt,0.00014600416761822999) (itemAlGQe,0.0001419955224264413) (itemUFxkv,0.00013992193271405995) (itemYgdNj,0.00012034791870974004) (itemSeyqb,0.00010389244562247768)* (item52xJ8,9.758873784448951e-05) (itemqppyW,8.255163993453607e-05) (item31doJ,6.996848969720304e-05) (itemvjUdv,6.741532706655562e-05) (itemaPbf4,6.680372462142259e-05) (item0rrNz,6.256575579755008e-05)* (itemzexIV,6.102722545620054e-05) (item162CY,5.7281671615783125e-05)* (itemzfaal,5.1434471970424056e-05)
usergnJHC: (itemwinns,0.00038089766167104244) (itemY6045,0.0003030156949535012) (itemr7q87,0.0003011381777469069) (itemSnsYW,0.0002992487861774862)* (itemwBj8x,0.0002910850162152201) (item96Uu6,0.00027760863304138184) (itemFoRzs,0.0002754054148681462) (itemBuZOt,0.00025844076299108565) (item9DjWX,0.0002460800460539758)* (itemg6NgV,0.00022166053531691432) (itemsaQmG,0.00021569093223661184) (item9muy9,0.00020746975496876985) (itemZCI04,0.00020738175953738391) (itemRNQTR,0.00019483028154354542) (itemexwfY,0.00015726994024589658) (itemcAUzH,0.0001543736580060795) (itemUiRdE,0.00014422822277992964) (itemGAqYy,0.0001413133868481964) (itemVda4U,0.00013643022975884378) (itemV1Vwk,0.0001321175805060193)
userOLph1: (itempLAQY,0.00040745578007772565) (itemgEevH,0.0002963032166007906)* (item1PK0V,0.00028301289421506226) (itemLDh7R,0.0002731026615947485)* (itemRy5SF,0.0002482332638464868)* (itemexwfY,0.0001995793281821534) (itemAlGQe,0.0001927241828525439)* (itempGfZ6,0.00018377126252744347) (itemOCA2H,0.00017080477846320719) (itemzfaal,0.0001614442007848993) (itemVHyMp,0.00015737596550025046) (itemxvrbY,0.00015719319344498217) (itemSEVUh,0.000156754394993186) (itemnO4tX,0.00015049501962494105) (items32yz,0.0001446501410100609) (item80q9y,0.00012724522093776613) (itemaPbf4,0.00011352589353919029) (item0MxmA,0.00010022558853961527) (itemKckEp,9.524977213004604e-05)* (itemvjUdv,9.513669647276402e-05)
useryDDtx: (itemcAUzH,0.00043484935304149985) (itempLAQY,0.0003414772218093276) (itemvQ7sQ,0.00032537576043978333) (item178I3,0.00023517062072642148) (itemUOpVk,0.00021330086747184396) (itemsaQmG,0.0001800617465050891) (itemPzRe5,0.00015227138646878302)* (itemFoRzs,0.00014489343448076397) (item9DjWX,0.00011776361498050392) (itemup8oB,0.00011601865116972476)* (itemvn3OC,0.00011219365114811808) (itemwrPNe,9.538690210320055e-05) (itemllAnb,9.124362259171903e-05) (item0MxmA,7.371533138211817e-05) (itemZCI04,6.490604573627934e-05)* (itemnO4tX,6.11321593169123e-05) (itemEZob3,6.0253838455537334e-05) (itemxwCH9,5.411036545410752e-05) (itemw0Hbk,4.869479744229466e-05) (itemmMX2p,4.109839937882498e-05)
userwzRLZ: (itemyWo9i,0.000281807326246053) (itemAj7Pj,0.0002533189835958183) (itemABTMM,0.00022080873895902187) (itempGfZ6,0.0001890706189442426) (item96Uu6,0.0001789458910934627) (itemFzVAJ,0.00017354448209516704) (itemMNxUT,0.00016899830370675772) (itemakzor,0.0001689334458205849)* (itemVZJC8,0.00016242866695392877) (item9muy9,0.00016092229634523392) (itemvQ7sQ,0.0001554330810904503) (itemcAUzH,0.00014394834579434246) (itemFEgKI,0.0001357888977508992)* (itemd7GN3,0.00011780677596107125) (itemuz9u2,9.39136662054807e-05) (itemRNQTR,8.419658843195066e-05) (itemH8gzP,8.4081751992926e-05)* (itemMzrpc,7.163238478824496e-05) (item178I3,5.128471821080893e-05) (item7XnWI,4.646067463909276e-05)
userhuvtK: (itemd7GN3,0.0004015308222733438) (itemKe2Er,0.0003786182787735015) (itemVda4U,0.0002695836592465639)* (itemcVs96,0.0002616165147628635) (itemva2ph,0.0002423592086415738) (itemy6Af3,0.00023034741752780974)* (itemYp8lv,0.00022384429757948965) (item4p3W3,0.00020515064534265548) (itemwAkpa,0.00020256001153029501) (item2FMEC,0.00019564959802664816) (itemcAUzH,0.0001930084399646148) (itemzfaal,0.00018430352793075144) (itemV1Vwk,0.00017436800408177078) (item9muy9,0.00017293173004873097) (itemjIyZN,0.00016742837033234537) (itemyo43o,0.0001581771794008091) (item0rrNz,0.0001524018298368901) (itemFoRzs,0.00014803562953602523) (itemMNxUT,0.00013807429058942944) (itemrT9kO,0.0001338014262728393)
userEiWs5: (itema506d,0.0004403631901368499) (itemsaQmG,0.000382074125809595) (itempLAQY,0.00035506419953890145) (itemPzRe5,0.00035410665441304445) (items32yz,0.00035389652475714684) (itemJyBn3,0.0003111289697699249) (itemqD4yX,0.0002980706049129367) (itemg6NgV,0.0002620645391289145)* (itemkHjKP,0.0002488254685886204) (itemUFxkv,0.00024314579786732793)* (itemhOGIE,0.00022346049081534147) (itemCVpf3,0.00022330913634505123)* (itemyWo9i,0.00020587386097759008) (itemEB2ZL,0.00020526937441900373) (itemKe2Er,0.00019471641280688345) (itemXLYXV,0.0001828289678087458) (itemgoCpP,0.0001789419911801815)* (itemTAGOA,0.000161085874424316) (itemv7Clw,0.0001460647617932409) (itemSeyqb,0.00014260697935242206)*
userGadv3: (item64Mnl,0.00031601826776750386) (itemcAUzH,0.0003132184501737356) (itemUyXau,0.00031237726216204464) (item2FMEC,0.00027375848731026053) (itemvQ7sQ,0.00023998961842153221) (itemdjMTE,0.0002333927113795653) (itemIrWce,0.00019366038031876087)* (itemLPkI9,0.000186631252290681) (item7XnWI,0.00018484749307390302)* (itemexwfY,0.00018451831419952214) (itemEzeNr,0.00018380326218903065) (itemSEVUh,0.00014350409037433565) (item84cQ6,0.00014036244829185307) (itemV1Vwk,0.00012792425695806742) (item162CY,0.00011445797281339765) (itembHmsT,9.856675751507282e-05) (itemDF5f3,9.609327389625832e-05) (itemwBj8x,7.697271939832717e-05) (itemy6Af3,7.495180034311488e-05)* (itemHrihE,7.009344699326903e-05)
useriqm2l: (itemlHCkK,0.0004450548440217972) (item0VuxA,0.0004266886680852622) (itemwAkpa,0.00032267876667901874) (itempLAQY,0.0003206004621461034) (itemVARpF,0.00027985393535345793) (itemEB2ZL,0.00023192646040115505) (itemFzVAJ,0.00021218779147602618) (itemDfuZl,0.00019166842685081065) (itemYp8lv,0.00018514401745051146) (itemEQ5kD,0.00018419281695969403)* (itemiXwHJ,0.0001801743492251262) (itemIBbVf,0.00016637856606394053) (itemEZob3,0.00016352882084902376) (itemPn5yf,0.00016329516074620187) (itemg6NgV,0.00015955667186062783) (item1PK0V,0.00015901918231975287) (itemLPkI9,0.00012573122512549162) (itemexwfY,0.00011612336675170809) (itemr1zoc,0.00010248000035062432) (itemuaFxY,8.310234261443838e-05)
userfIZMV: (itemqD4yX,0.0007414159481413662)* (itemKHT0l,0.00045194049016572535) (itemg6NgV,0.00043189257849007845) (itemqth87,0.0004250291094649583) (itemBkBCG,0.0003868291969411075) (itemr7q87,0.0003586168750189245) (itemYp8lv,0.0003413524536881596) (itemFEgKI,0.0002726348757278174) (itemrDLmp,0.00023608922492712736) (itemd7GN3,0.00023058813530951738)* (itemGgwft,0.00021167908562347293) (itemjeN5W,0.00019513268489390612) (itemgRlgs,0.00019473514112178236) (item84cQ6,0.00019046154920943081)* (itempGfZ6,0.00018818723037838936) (itemSrPKx,0.00016508178669027984) (itemZCI04,0.00015813751087989658)* (itemgEevH,0.0001430809061275795)* (itemOCA2H,0.00013717031106352806) (itemH8gzP,0.00012803473509848118)*
user6btfJ: (item23scr,0.0005474744830280542) (item80q9y,0.00042809476144611835)* (itemmMX2p,0.000390170025639236) (itemAzjPR,0.00038051389856263995) (itemFjQ4M,0.00032858032500371337)* (item9lgJn,0.00029981666011735797) (itemHrihE,0.0002929168986156583) (item9muy9,0.00025880796601995826)* (itemN8AZu,0.00021308378200046718) (itemvQ7sQ,0.0001999641681322828) (itemdoXAn,0.00019942010112572461) (itemtXKxm,0.00017365501844324172)* (itemEZob3,0.0001727053604554385)* (itemTAGOA,0.000172579733771272)* (itemrDLmp,0.00017009236034937203) (itemgRlgs,0.00016064083320088685) (itemexwfY,0.0001504791434854269) (itemllAnb,0.00014609341451432556) (itemdC6Wf,0.0001430788543075323) (items32yz,0.0001034583110595122)
useriL4c2: (itemH8gzP,0.0006465336191467941) (itemmt9Zs,0.00046333999489434063) (itemyo43o,0.0003314401546958834) (itemxbm5F,0.00028480467153713107) (itemrT9kO,0.00028000856400467455)* (item03CQ6,0.0002775119210127741)* (itemMNxUT,0.00027424193103797734) (itemMzrpc,0.0002594489778857678) (itemakzor,0.0002579297579359263) (itemv7Clw,0.00022961485956329852) (itemlHCkK,0.00020909638260491192) (itemvHkzH,0.0002090222988044843) (itemFjQ4M,0.0001704146561678499)* (itemguPDr,0.00014191927039064467) (itemlepVl,0.00013139181828591973) (itemRKTJC,0.00012937428255099803) (itemvpxYm,0.00012568075908347964) (itemoSaYE,0.00011237181024625897) (itemSrPKx,9.247833077097312e-05)* (itemY6045,9.078675066120923e-05)*
userYKjNX: (itemrT9kO,0.00042898833635263145)* (iteme1aEV,0.00040716456715017557) (itemoSaYE,0.00031579111237078905) (itemMzrpc,0.00027952028904110193) (itemV1Vwk,0.0002698113676160574) (itemiCowm,0.00026095446082763374) (itemXLYXV,0.00025008124066516757) (itempLAQY,0.00022544292733073235) (itemTuHK9,0.0002017791266553104)* (itemUo6cI,0.0001959696237463504)* (itemRKTJC,0.00019422126933932304) (itemWeaex,0.00015235818864312023) (itemuz9u2,0.00014095539518166333) (itemRMr3n,0.0001384746574331075)* (item96Uu6,0.00013197888620197773) (itemyo43o,0.0001268253254238516) (itemlN5jA,0.00011539555271156132) (itemvn3OC,0.00011376610200386494) (itemVHyMp,0.00011163642921019346) (itemnO4tX,0.00010474496230017394)
userOBLWP: (itemjeN5W,0.00038257843698374927) (item0MxmA,0.00033312762388959527) (itemqD4yX,0.00031287825549952686) (itemvjUdv,0.000311737327137962) (itemxvrbY,0.0002999999560415745) (itemlN5jA,0.00026535606593824923)* (itemXxPjl,0.00025872461264953017) (itemLPkI9,0.0002564271562732756) (itemva2ph,0.0002481364645063877) (item0rrNz,0.00024328961444552988) (itemPn5yf,0.0002398768556304276) (item0QA86,0.00023018084175419062)* (itemvpxYm,0.00022689433535560966) (item162CY,0.00021555411512963474) (itemaTHnd,0.00021420109260361642) (itemrDLmp,0.00019904646615032107) (itemFEgKI,0.00018852857465390116) (itemakzor,0.00018119171727448702)* (itemEwdGW,0.00016821062308736145) (itemxCvQp,0.0001674010418355465)
userboi7r: (itemIBbVf,0.0005282218335196376)* (itemMNxUT,0.0003367102472111583) (itemPzRe5,0.0003077154397033155)* (itemEQ5kD,0.00030672180582769215) (itemVHyMp,0.000293297809548676) (itemKckEp,0.00028984161326661706) (itemehZbz,0.00027812435291707516) (itemxCvQp,0.00027738616336137056) (itemSeyqb,0.0002630862290970981)* (itemSW5s8,0.0002564798342064023)* (itemYOYte,0.0002471885527484119) (itemlN5jA,0.0002393498143646866) (itemvpxYm,0.00022731284843757749) (itemEZob3,0.00020343097276054323)* (itemh9nHh,0.00019784517644438893) (itemAzjPR,0.00019227858865633607) (item162CY,0.00015552934200968593) (itemg6NgV,0.0001496687182225287) (itemEzeNr,0.00014374597230926156) (itemHrihE,0.00012614602746907622)
user9tzLJ: (items32yz,0.00046441424638032913) (itempGfZ6,0.0003280983364675194) (itemVZJC8,0.00028948221006430686) (itemTAGOA,0.000287483970168978) (item178I3,0.00027202878845855594) (itemxbm5F,0.00022517587058246136) (itemRKTJC,0.00020273627887945622) (itemN8AZu,0.0001907214755192399)* (item9lgJn,0.0001825716026360169) (itemvjUdv,0.00013410828250925988) (itemqD4yX,0.00013335113180801272) (itemvpxYm,0.00012584900832735002) (itemWngsI,0.0001217938115587458)* (itemBkBCG,0.00011558255937416106) (itemWUHgc,0.00011235388228669763) (itemguPDr,0.00010454668517922983) (itemyo43o,9.896476694848388e-05) (itemRy5SF,9.849190973909572e-05)* (itemlAKEf,9.657964983489364e-05) (itemYgdNj,8.194916881620884e-05)*
userzioQY: (itemWeaex,0.00046186684630811214) (itemiCowm,0.0003717903746291995) (itemHrihE,0.0003339562099426985) (itemAj7Pj,0.000323274900438264) (itemXLYXV,0.0003155017620883882) (itemWngsI,0.00031328151817433536) (itemg6NgV,0.00026569340843707323)* (itemTAGOA,0.00026208130293525755) (item80q9y,0.00025099326740019023) (itemBuZOt,0.00024971659877337515)* (item96Uu6,0.0002492202911525965) (itemllAnb,0.00022957702458370477) (itemexwfY,0.00022600205556955189) (itemr1zoc,0.00022341847943607718) (itemFjQ4M,0.0002135426038876176) (itemLPkI9,0.00021265684335958213) (itemcWumf,0.00020738746388815343) (itemMNxUT,0.0002015211939578876) (itemZIbqG,0.00019103725207969546) (itemyWo9i,0.00018599320901557803)*
userRwvwk: (itemKckEp,0.0003913238469976932) (itemfL8PL,0.000361436337698251) (itempLAQY,0.00032220635330304503) (itemEB2ZL,0.0003021581214852631)* (itemxCvQp,0.00029653043020516634) (itemqppyW,0.00029226523474790156) (itemcAUzH,0.00028354459209367633) (itemrDLmp,0.0002716226736083627) (itemMzrpc,0.00025957918842323124) (itemllAnb,0.0002493121428415179) (itemdqVVX,0.00022632964828517288) (itemguPDr,0.00021488784113898873) (itemyWo9i,0.00020361706265248358) (itemZIbqG,0.00018960522720590234)* (itemwinns,0.00018146171350963414) (itemSW5s8,0.00016965939721558243) (itemwBj8x,0.00016884325304999948) (itemDfuZl,0.0001645878073759377) (itemN8AZu,0.0001620035618543625) (itemDF5f3,0.0001567905128467828)
user2Vxqb: (itemoSaYE,0.0004215134831611067) (itemlHCkK,0.00042009350727312267)* (itemxCvQp,0.00039342386298812926) (itemup8oB,0.00038445560494437814) (itemEwdGW,0.0003800082195084542) (itemlepVl,0.0003489492228254676) (itemMzrpc,0.0003227583656553179)* (itemguPDr,0.00026594518567435443) (itembuWyf,0.0002601147280074656) (itemAlGQe,0.00024876155657693744) (itemySRfm,0.00023838545894250274) (item7XnWI,0.00023239266010932624) (itemdoXAn,0.00023085861175786704)* (item52xJ8,0.00022985193936619908) (itemyo43o,0.00022857487783767283) (itemg6NgV,0.00022312223154585809) (item7gr06,0.0002224292402388528) (itemva2ph,0.000208241370273754) (itemSW5s8,0.0001867272367235273) (itemRMr3n,0.0001749749353621155)
userLBXk0: (itemDfuZl,0.0003735266800504178) (item9M3lc,0.00024268653942272067) (itemr7q87,0.0002063790161628276)* (itemV1Vwk,0.00018925179028883576) (itemsF3jV,0.0001872585853561759)* (itemrDLmp,0.00018058210844174027) (itemLPkI9,0.00016151298768818378)* (itemSW5s8,0.000145340571179986) (itemaTHnd,0.00012396840611472726) (itemxbm5F,0.0001219189289258793) (itemUFxkv,0.00011587448534555733) (itemUiRdE,0.00010920948989223689) (item162CY,0.00010911247227340937)* (itemxvrbY,0.0001089109864551574) (itemd7GN3,9.794985817279667e-05) (itemhOGIE,9.416909597348422e-05) (itemvpxYm,7.724476017756388e-05) (item1PK0V,7.336611452046782e-05) (item84cQ6,7.256525714183226e-05) (itemuz9u2,7.141198875615373e-05)*
useriLMjp: (itemjIyZN,0.0005222423933446407) (itemSrPKx,0.00038160698022693396)* (itemgoCpP,0.00037068966776132584) (item0QA86,0.0003224377578590065)* (itemBmrIx,0.00032067939173430204) (itempGfZ6,0.00031020131427794695)* (itemtXKxm,0.0003085611097048968)* (itemCVpf3,0.00028825964545831084) (itemAj7Pj,0.0002639473823364824) (itemFjQ4M,0.00024683939409442246) (itemqF1uc,0.00024121542810462415)* (itemwrPNe,0.00024074128305073828) (itemVda4U,0.0002321534848306328) (itemr1zoc,0.00022187642753124237) (item80q9y,0.00018979975720867515) (itemjmSae,0.00018491808441467583) (itemqppyW,0.00017876997299026698) (itemoSaYE,0.0001419781765434891) (itemQStwf,0.00013024063082411885) (itemf6vR5,0.00012794166104868054)
userh6Cos: (itemsaQmG,0.0004143706464674324) (itemLDh7R,0.0003833709633909166) (itemyWo9i,0.00036957234260626137) (itemDYrOS,0.0002715944137889892)* (itemvjUdv,0.0002679620811250061) (itemgRlgs,0.000249248172622174) (itemVARpF,0.00022914446890354156) (itemllAnb,0.0002208990918006748) (itema506d,0.00021049482165835798) (itemfL8PL,0.00018706325499806553)* (item618n3,0.00017618428682908416) (itemcAUzH,0.00016962873633019626)* (itemFoRzs,0.00016576924826949835)* (itemPOi9Y,0.00013608690642286092) (iteme5OvS,0.00013122541713528335) (itempGfZ6,0.00012690643779933453) (itemr7q87,9.713275358080864e-05) (itemRy5SF,9.468352072872221e-05)* (itemWngsI,9.263431275030598e-05)* (itemUyXau,8.913980127545074e-05)
userpbY1g: (itemjeN5W,0.0004475802415981889) (itemnvCLA,0.0003018230199813843) (itemwrPNe,0.00024717277847230434) (item9muy9,0.0002016666840063408) (itemjIyZN,0.000184151969733648)* (item84cQ6,0.00017070016474463046)* (itemrDLmp,0.00017067216685973108) (itemXLYXV,0.0001652270439080894)* (itemWeaex,0.00015673186862841249) (item0VuxA,0.00010049290722236037) (itemMzrpc,9.89443578873761e-05) (itemH8gzP,9.625284292269498e-05) (itemDYrOS,9.621734352549538e-05)* (itemxwCH9,8.873104525264353e-05) (itemexwfY,8.61764419823885e-05)* (item618n3,8.387259731534868e-05) (itemvHkzH,7.651859777979553e-05) (itemzfaal,6.883130117785186e-05) (itemh9nHh,6.588610995095223e-05) (item1PK0V,6.148690590634942e-05)
userEAbmM: (itemguPDr,0.0004658932448364794) (itemkHjKP,0.0003491704701445997) (itemzexIV,0.00032690371153876185) (itemMzrpc,0.0002841330715455115) (item7XnWI,0.00024266970285680145) (itemva2ph,0.0002253685670439154) (item9DjWX,0.00020602211588993669) (iteme1aEV,0.00019627055735327303) (itemwBj8x,0.00019560434157028794)* (itemEzeNr,0.00019421271281316876) (itemABTMM,0.00018937212007585913) (itemd7GN3,0.0001787524961400777) (itemv7Clw,0.0001692410442046821) (itemIrWce,0.00014867150457575917) (itemSEVUh,0.00011547632311703637) (itemllUul,0.00011453699698904529) (itemAlGQe,0.0001143413974205032) (item2FMEC,9.515875717625022e-05)* (item64Mnl,7.325544720515609e-05) (itemWUHgc,7.091870065778494e-05)
userYcsX6: (itemzexIV,0.0004659473488572985) (itemcVs96,0.0003739551466424018)* (item0VuxA,0.0003220726503059268) (itemjIyZN,0.0002546831383369863) (itemsaQmG,0.0002454877831041813) (itemIrWce,0.0002389056171523407) (itemmMX2p,0.00023560860427096486) (itemaTHnd,0.00021678621124010533) (item178I3,0.0002135463000740856) (item4YMYG,0.00019164293189533055) (itemUo6cI,0.00018729534349404275) (itemyWo9i,0.00018282548990100622) (itemAlGQe,0.000171505322214216) (item9DjWX,0.00016337395936716348) (itemqF1uc,0.00014133017975836992) (itemwBj8x,0.00014115781232248992) (item9muy9,0.0001328135112999007) (itemx52zm,0.0001244319137185812)* (itemup8oB,0.00011081410048063844)* (itempLAQY,8.425606938544661e-05)
user2RzBb: (itemmt9Zs,0.000611285213381052) (items32yz,0.0005230311653576791) (itemOCA2H,0.00044702168088406324) (itemgRlgs,0.0003766139561776072) (item7XnWI,0.00029672065284103155) (itemRNQTR,0.0002384890103712678) (itemWUHgc,0.00022104496019892395)* (itemDYrOS,0.0002172629174310714)* (itemSeyqb,0.00021319698134902865) (itemSnsYW,0.00020988311734981835) (itemKHT0l,0.00020806086831726134) (itema506d,0.00020640218281187117) (itemSrPKx,0.00020538138051051646) (itemqppyW,0.00020020946976728737) (itemwinns,0.00019338674610480666) (item9DjWX,0.00018373577040620148)* (itemFEgKI,0.00017390394350513816)* (itemYOYte,0.00017202409799210727) (item4YMYG,0.0001518647331977263) (itemFoRzs,0.00014927375013940036)
user71qa3: (itemxCvQp,0.0004918496124446392) (item52xJ8,0.0003943776828236878) (itemPzRe5,0.0003658373316284269) (itemuNHoh,0.0003464403562247753) (item03CQ6,0.0003121932386420667) (itemr1zoc,0.000310439063468948)* (itemVZJC8,0.0002806539705488831)* (itemd9ChJ,0.00021417488460429013) (itemwrPNe,0.0001980433880817145) (itemlAKEf,0.00019773934036493301) (itempLAQY,0.00019304030865896493) (itemr7q87,0.00019213130872230977) (itemh9nHh,0.0001842222991399467) (item64Mnl,0.00015739633818157017)* (itemDfuZl,0.00015258626081049442) (item0QA86,0.0001451199786970392) (itemx52zm,0.00012631842400878668) (itemdqVVX,0.00012142412015236914) (itemDF5f3,0.00011918353266082704)* (itemUFxkv,0.00011046543659176677)
userAZO9y: (itemCVpf3,0.00028132626903243363) (itemMzrpc,0.0002734168665483594) (itemeROTS,0.00026478475774638355) (itemdC6Wf,0.00022557610645890236) (itemh9nHh,0.00021313695469871163) (itemhOGIE,0.00018349802121520042)* (item1PK0V,0.000181960582267493) (itemguPDr,0.00018096031271852553) (itemaTHnd,0.00016599772789049894) (itemuaFxY,0.00016008831153158098)* (itemSEVUh,0.00014353173901326954) (itemJaOdU,0.00013076671166345477) (itemqF1uc,0.00012685252295341343) (itemehZbz,0.00011110260675195605) (itemDYrOS,9.636276081437245e-05)* (itemXxPjl,8.28951015137136e-05) (itemy6Af3,7.895639282651246e-05) (item0amMQ,7.285671017598361e-05) (itemHrihE,6.584846414625645e-05) (itemLDh7R,6.147872772999108e-05)
userwC8yX: (iteme1aEV,0.0003443559689912945)* (itemva2ph,0.00031467602821066976) (item6hTeJ,0.0002915030636359006) (itemRKTJC,0.0002871565520763397) (itemr7q87,0.00025419017765671015) (itemVZJC8,0.000253116711974144) (itemEZob3,0.00022134094615466893) (itemTAGOA,0.00019370595691725612)* (itemaTHnd,0.0001817926822695881) (itemcvY2p,0.00016428834351245314) (itemFEgKI,0.0001616061490494758) (itemAj7Pj,0.00012837517715524882)* (itemY6045,0.00012258373317308724)* (itemmMX2p,9.468132338952273e-05) (itemZIbqG,8.794049062998965e-05) (item178I3,8.127745240926743e-05)* (itemeROTS,7.118804205674678e-05) (itemN8AZu,6.818176188971847e-05) (itemABTMM,4.522988456301391e-05)* (itemguPDr,4.3387815821915865e-05)
user1eta7: (itemMzrpc,0.0004456634051166475) (itemLDh7R,0.00037843792233616114) (item64Mnl,0.000315528130158782)* (itemRMr3n,0.0003142828354611993) (itemPOi9Y,0.00031107733957469463) (itemkHjKP,0.000299106992315501) (itemMNxUT,0.0002984617603942752) (itemPzRe5,0.00029280249145813286) (itemWngsI,0.0002916328376159072) (itemEZob3,0.00025904603535309434)* (itemWeaex,0.000246727024205029) (itembHmsT,0.00020841587684117258) (itemlN5jA,0.00020378423505462706) (itemdqVVX,0.0001988932053791359) (itemxCvQp,0.00018407037714496255) (itemDYrOS,0.00018299688235856593)* (item7XnWI,0.00018090290541294962) (itemABTMM,0.0001714999380055815) (itemw0Hbk,0.00016943123773671687) (itemdC6Wf,0.00011659286974463612)
userYkF7h: (itemVHyMp,0.00045797452912665904)* (itemkHjKP,0.0004246978205628693)* (iteme1aEV,0.000389899272704497) (itemMzrpc,0.0003540740581229329) (itemABTMM,0.0003386119788046926) (itemKckEp,0.00033486622851341963) (item0amMQ,0.00032755499705672264) (item0MxmA,0.00030539699946530163) (item9M3lc,0.0003007288323715329) (itemf6vR5,0.000296322803478688) (itemxCvQp,0.0002960509737022221) (item03CQ6,0.0002687431697268039) (itemXxPjl,0.00025416273274458945) (itemuNHoh,0.0002380506048211828)* (itemRMr3n,0.0002348545240238309) (itemAj7Pj,0.00023224127653520554) (itemqF1uc,0.00021708259009756148)* (itemUOpVk,0.00019929322297684848)* (itemuaFxY,0.00017316039884462953) (itemTAGOA,0.0001730961084831506)
userIqRCa: (item0rrNz,0.0005981133435852826) (itemwAkpa,0.0005338620394468307) (itemAj7Pj,0.0004942417144775391) (item9muy9,0.0003630613209679723) (itemKckEp,0.00035401590866968036) (itemWUHgc,0.0003522543120197952) (itemVda4U,0.0003315696376375854)* (item9M3lc,0.0003203722881153226) (itemcWumf,0.0003091585240326822)* (item7gr06,0.00029205475584603846) (itemxwCH9,0.00028406872297637165)* (itemSEVUh,0.00027343505644239485) (itemQkv6a,0.00027101789601147175)* (itemfL8PL,0.00023900314408820122) (itemd7GN3,0.00022517716570291668)* (itemEB2ZL,0.0002090145426336676) (itemup8oB,0.00020441453671082854) (item23scr,0.00020347986719571054) (itemFzVAJ,0.00019666475418489426) (itemzfaal,0.00019124106620438397)
userbfNOX: (itemtXKxm,0.00035758165176957846) (itemnvCLA,0.000321084720781073) (itemFoRzs,0.00031446098000742495) (itemllAnb,0.0003082406474277377) (itemGgwft,0.00029661852749995887) (itemgEevH,0.0002530046331230551) (itemexwfY,0.00021026452304795384) (itemvQ7sQ,0.00020925127319060266) (itemAzjPR,0.00020475219935178757) (itemzexIV,0.00019172408792655915)* (itemRMr3n,0.0001884072262328118) (itemEwdGW,0.00018430556519888341) (item0VuxA,0.00017941683472599834) (itemVARpF,0.0001788512454368174)* (itemYp8lv,0.00016514179878868163)* (itemFzVAJ,0.00015449628699570894)* (itemXLYXV,0.0001416039449395612) (itembuWyf,0.00013246512389741838) (itemWngsI,0.00013087740808259696) (itemsB45O,0.00011334362352499738)*
userLS2Nz: (itemjIyZN,0.0006526893703266978) (itemRKTJC,0.0005614302353933454) (itemQJNS2,0.0003766375011764467) (itemeROTS,0.00036252624704502523)* (itemwrPNe,0.0003189003618899733) (itemlHCkK,0.00030592174152843654) (itemDAINx,0.0003004642203450203) (itemtXKxm,0.00027658967883326113) (itemfL8PL,0.0002675569849088788) (itemN8AZu,0.0002662824117578566) (itemcAUzH,0.00026435754261910915)* (itemJyBn3,0.0002598848077468574) (item178I3,0.0002543799055274576) (itemWeaex,0.00023251812672242522) (itemFoRzs,0.00022224150598049164) (itemgRlgs,0.00021614601428154856) (itemiXwHJ,0.00021028448827564716) (itemHrihE,0.00020891803433187306)* (itemTAGOA,0.00019922231149394065) (itemAj7Pj,0.00019846420036628842)
