userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemvjUdv,0.00034011490060947835) (item9lgJn,0.00021770781313534826) (itemKe2Er,0.00021563415066339076) (itemO64Fe,0.0002056053199339658) (itemLDh7R,0.0001904934033518657) (item9M3lc,0.00017729536921251565) (itemvpxYm,0.00017605228640604764) (itemBmrIx,0.00017488955927547067) (item2FMEC,0.0001597611408215016)* (itemDYrOS,0.00014763110084459186) (itemdjMTE,0.00013051196583546698) (item0rrNz,0.00013023846258874983) (itemVARpF,0.00011825755791505799) (item4YMYG,0.00011578240810194984) (item84cQ6,0.0001127507202909328) (itemaPbf4,0.00011081963020842522) (itemVZJC8,9.710343147162348e-05) (itemmbGoj,9.410934580955654e-05) (itemxCvQp,9.09309892449528e-05) (itemwAkpa,8.15883104223758e-05)
userts7VL: (itemCVpf3,0.0004470626008696854) (itemXLYXV,0.0004252251237630844) (itemPzRe5,0.0003963233612012118)* (itemPn5yf,0.00035170154296793044) (itemKe2Er,0.0003375917731318623) (itemDfuZl,0.0003327443264424801) (item0VuxA,0.0003039175062440336) (itemy6Af3,0.00025426482898183167) (item96Uu6,0.00023468681320082396) (itemv7Clw,0.00023239005531650037) (itemZCI04,0.00022777201957069337)* (itemcvY2p,0.00022449064999818802) (itemIBbVf,0.00022409154917113483) (itemg6NgV,0.0002224516065325588) (itemsF3jV,0.0002179853618144989) (itemr7q87,0.00021709821885451674) (item4p3W3,0.00019542693917173892) (itembuWyf,0.00019445098587311804) (item0MxmA,0.00019012251868844032) (itemlAKEf,0.0001867393439169973)
user7igOt: (itemcWumf,0.0003931123064830899) (itemuz9u2,0.0003909130464307964) (itemcVs96,0.00032881382503546774)* (itemdkR3x,0.0003112508275080472)* (itemEzeNr,0.000292908021947369)* (itemv7Clw,0.0002905458677560091) (itemlHCkK,0.00025915357400663197) (itemTuHK9,0.00025483782519586384) (item52xJ8,0.00025306225870735943) (itemVZJC8,0.00023840719950385392) (item23scr,0.00023414274619426578) (itemwAkpa,0.00021167463273741305) (itemAlGQe,0.00020832408335991204) (itemllUul,0.00019852747209370136) (itemUFxkv,0.0001944921095855534) (itemaPbf4,0.00018072640523314476) (itemBkBCG,0.00015584683569613844)* (itemsaQmG,0.00014380049833562225) (iteme1aEV,0.00013341786689125001) (itemSeyqb,0.0001176644946099259)*
usergnJHC: (item84cQ6,0.0004021524509880692) (item0VuxA,0.00036421127151697874) (itemvHkzH,0.00033885586890392005) (itemDF5f3,0.00031393812969326973) (itemVARpF,0.0002504398871678859) (item6hTeJ,0.00023501020041294396) (itemCVpf3,0.00022955393069423735) (items32yz,0.0002246846997877583)* (itemexwfY,0.00021686562104150653) (itemDYrOS,0.0002058170357486233) (itemDfuZl,0.00020212499657645822)* (itemcWumf,0.00020170329662505537)* (itemup8oB,0.00018362033006269485)* (item618n3,0.0001481137442169711)* (itemyo43o,0.00012819672701880336)* (itemaTHnd,0.00012764305574819446) (itemGgwft,0.00012032056838506833)* (itemSrPKx,0.00011344067752361298) (itemEB2ZL,0.00010404224303783849) (item52xJ8,7.79408001108095e-05)
userOLph1: (itemUiRdE,0.00048739498015493155) (itemAj7Pj,0.00047739280853420496) (itemnO4tX,0.00043035924318246543) (itemvQ7sQ,0.0003222765517421067) (itemwinns,0.0002986745093949139) (itemAlGQe,0.0002758568443823606)* (itemmbGoj,0.00024201275664381683) (itemllAnb,0.0002316306490683928) (itemaPbf4,0.00022774025273974985) (itemRMr3n,0.00020636318367905915) (itemBkBCG,0.00020520998805295676) (itemtXKxm,0.00020396870968397707) (itemZCI04,0.0001744048931868747) (itemwBj8x,0.0001725356705719605) (items32yz,0.00016084080561995506) (itemABTMM,0.00014459573139902204)* (itemiCowm,0.00014421669766306877) (itemr1zoc,0.00010172837210120633)* (itemw0Hbk,6.11447321716696e-05) (itemqF1uc,5.206479545449838e-05)
useryDDtx: (itemtXKxm,0.000647680601105094) (item0MxmA,0.0004121827078051865) (itemPn5yf,0.00028047754312865436) (itemwrPNe,0.0002513536310289055) (itemAj7Pj,0.0002414119226159528) (itemWeaex,0.0002122240257449448) (itemxwCH9,0.00015310684102587402) (itemjIyZN,0.0001512075832579285) (itemf6vR5,0.00013441882038023323) (itemzfaal,0.00012488856737036258) (itempLAQY,0.00012445487664081156) (item64Mnl,0.00012136131408624351) (itemvn3OC,0.00011505071597639471) (itemuNHoh,0.00010661716805770993) (itemjeN5W,9.124477946897969e-05) (itemPzRe5,8.933705248637125e-05)* (itemsaQmG,6.791284249629825e-05) (itemZCI04,5.5606476962566376e-05)* (itemQStwf,4.865806840825826e-05) (itemnO4tX,4.234091829857789e-05)
userwzRLZ: (itemLPkI9,0.0005449977470561862) (itemlN5jA,0.0005001811659894884) (itemd7GN3,0.00031595368636772037) (item9M3lc,0.0002622093306854367) (itemWeaex,0.00025959318736568093) (item178I3,0.00023195061658043414) (itemakzor,0.0002006212598644197)* (itemaTHnd,0.00018721719970926642) (itemeROTS,0.00015837389219086617) (itemAj7Pj,0.0001501172810094431) (itemyo43o,0.00014864042168483138) (itemUOpVk,0.0001483143714722246) (itemvn3OC,0.00014466533320955932) (itemBkBCG,0.0001298440620303154) (itemH8gzP,9.910372318699956e-05)* (itemllUul,9.506105561740696e-05)* (itemvQ7sQ,8.993477968033403e-05) (item6hTeJ,8.704017091076821e-05)* (item4YMYG,8.122119470499456e-05)* (itemw0Hbk,8.090108894975856e-05)
userhuvtK: (items32yz,0.0004356330609880388)* (itemrT9kO,0.00043256074422970414) (itemABTMM,0.0003741104737855494) (itemYgdNj,0.0003464106994215399) (itemcAUzH,0.0003274404734838754) (itemdqVVX,0.00032323869527317584)* (item80q9y,0.0003164109366480261) (itemO64Fe,0.00030967104248702526) (itemUo6cI,0.0003067688667215407) (itemjIyZN,0.0002816134365275502) (itemIrWce,0.0002768797567114234)* (item162CY,0.00025297541287727654) (item2FMEC,0.00022965790412854403) (item9M3lc,0.00021208429825492203) (itemBmrIx,0.0001828738604672253) (itemy6Af3,0.00017332404968328774)* (itemVda4U,0.00016896154556889087)* (itemDYrOS,0.00016714812954887748) (item64Mnl,0.00016597157809883356) (item7XnWI,0.00015819021791685373)
userEiWs5: (itemEQ5kD,0.00033804416307248175) (itemRNQTR,0.00030210387194529176) (item84cQ6,0.0002494209911674261) (itemv7Clw,0.00023248244542628527) (itemQkv6a,0.000231066660489887)* (item80q9y,0.0002093076182063669) (itemAj7Pj,0.00020620340364985168) (itemgoCpP,0.00020576250972226262)* (itemJyBn3,0.00020272386609576643) (itemDYrOS,0.00017324434884358197)* (itemFjQ4M,0.00015069269284140319)* (itempLAQY,0.00014412922610063106) (itemsaQmG,0.00012504193000495434) (itemRy5SF,0.00011464933777460828) (itemr1zoc,0.00010635711078066379)* (itemfL8PL,0.00010088537965202704) (itemd9ChJ,9.925349149852991e-05)* (itemMpeEL,6.478284194599837e-05) (itemXLYXV,6.242031668080017e-05) (itemqppyW,6.142587517388165e-05)
userGadv3: (itemxwCH9,0.00046824070159345865)* (itemvQ7sQ,0.00035915052285417914) (item9muy9,0.0002194713451899588) (itemDAINx,0.00021625254885293543)* (itemUyXau,0.0001886011887108907) (itemV1Vwk,0.00018794166680891067) (item2FMEC,0.00018299663497600704) (itemFzVAJ,0.00017852606833912432) (itemRKTJC,0.0001732836535666138) (itemBmrIx,0.00016455748118460178)* (itemEzeNr,0.00016423437045887113) (item6hTeJ,0.00016193620103877038) (item7XnWI,0.00015066446212586015)* (itemmbGoj,0.000149803381646052) (itemcAUzH,0.0001453988952562213) (itembHmsT,0.00014474120689556003) (itemdoXAn,0.00013564107939600945)* (itemqth87,0.0001313131069764495) (itemnO4tX,0.0001241024729097262)* (itemexwfY,0.0001216037489939481)
useriqm2l: (itemEQ5kD,0.0005626210477203131)* (itemMpeEL,0.000432557484600693) (itemLPkI9,0.00040623999666422606) (itemH8gzP,0.00040283804992213845) (item9M3lc,0.00034319370752200484) (itemV1Vwk,0.0002581222215667367) (itemfL8PL,0.000256978499237448) (item4FB6e,0.0002450417960062623) (itemEZob3,0.00024467517505399883) (itemvpxYm,0.0002179635630454868)* (itemYp8lv,0.00020978169050067663) (itemh9nHh,0.00018991719116456807) (itemexwfY,0.00018808773893397301) (item2FMEC,0.00018477952107787132) (itemIBbVf,0.00017687752551864833) (itemqD4yX,0.00016825083002913743) (item31doJ,0.00016622728435322642) (itemjIyZN,0.0001559391530463472)* (itemVda4U,0.00015083147445693612) (itemZIbqG,0.0001485255197621882)
userfIZMV: (itemcAUzH,0.0004723448073491454) (itemCVpf3,0.0003833092050626874) (itemnvCLA,0.0003816539538092911) (itemYp8lv,0.00036167330108582973) (item9muy9,0.0003354116342961788) (itemf6vR5,0.00031414395198225975) (item162CY,0.0002956527750939131) (itemBmrIx,0.00024150707758963108)* (itemnO4tX,0.0002254439750686288) (itemYOYte,0.00021286187984514982) (itemqD4yX,0.0002125036553479731)* (item2FMEC,0.00018028629710897803) (itemgEevH,0.00018003190052695572)* (itemXxPjl,0.00016619946109130979) (itemFEgKI,0.00014698109589517117) (itemMpeEL,0.00014422186359297484) (itemgRlgs,0.0001415406004525721) (itemx52zm,0.00014098812243901193) (itemmMX2p,0.000133612280478701) (itemwBj8x,0.0001298666320508346)
user6btfJ: (itemgEevH,0.0004501011862885207) (itemhOGIE,0.00041733929538168013) (item03CQ6,0.0003359332331456244) (itempLAQY,0.00031236387440003455) (itemmt9Zs,0.0002754276792984456) (itemKe2Er,0.000262384390225634) (itemFjQ4M,0.0002577199775259942)* (item80q9y,0.00025191198801621795)* (itemH8gzP,0.00023910024901852012) (itemdjMTE,0.00022980077483225614)* (items32yz,0.00021122017642483115) (itemexwfY,0.00019449238607194275) (itemCmV8W,0.00018201455532107502) (itemllAnb,0.00016275158850476146) (itemV1Vwk,0.00016066915122792125) (itemrDLmp,0.00016010327090043575) (itema506d,0.00014903528790455312) (itemWeaex,0.000148590566823259) (itemFzVAJ,0.0001428288233000785) (itemN8AZu,0.00014006675337441266)
useriL4c2: (itemgoCpP,0.00039237813325598836) (itemSnsYW,0.00037692137993872166) (itemv7Clw,0.0003622217336669564) (itemOCA2H,0.00029132841154932976) (itemPzRe5,0.00026470384909771383) (itemcAUzH,0.00023950028116814792) (itemrT9kO,0.0002267860108986497)* (itemmMX2p,0.0002191409294027835)* (itemFoRzs,0.00020033394685015082) (itemHrihE,0.0001727382914396003) (itemf6vR5,0.00017076515359804034) (item0rrNz,0.0001599087700014934) (itemcWumf,0.00012795269140042365) (itemEQ5kD,0.00011825601541204378)* (itemdkR3x,0.00011714718129951507) (itemMNxUT,0.0001081107766367495) (itemr1zoc,0.00010488484258530661) (itemYOYte,9.890833462122828e-05) (itemakzor,8.545341552235186e-05) (itemFjQ4M,8.436535426881164e-05)*
userYKjNX: (itemvn3OC,0.0003622359363362193) (itemhOGIE,0.00035055988701060414)* (itemMpeEL,0.00033072836231440306)* (item0QA86,0.0003161024069413543) (itemLPkI9,0.0003079857269767672) (itemehZbz,0.0002741594798862934) (itemmMX2p,0.0002592593082226813)* (itemEwdGW,0.0002505534212104976) (itemEZob3,0.00024433768703602254) (item162CY,0.00023029300791677088) (itemZCI04,0.00018986730719916523) (itemCVpf3,0.00018776507931761444) (itemY6045,0.00017509300960227847)* (itemPzRe5,0.00017121207201853395) (itemWUHgc,0.00016581325326114893) (itemd9ChJ,0.00016405872884206474) (itemAj7Pj,0.0001607223821338266)* (itemSnsYW,0.0001596180081833154) (itemV1Vwk,0.00015105660713743418) (itemxbm5F,0.00014680367894470692)
userOBLWP: (itemup8oB,0.0006104413769207895) (itemcAUzH,0.0004926219116896391) (itema506d,0.0004871297278441489)* (itemllAnb,0.00042883859714493155)* (itemeROTS,0.0003917667199857533) (itemSeyqb,0.00038449268322438) (itemPzRe5,0.00038310146192088723) (itemKckEp,0.0003716095816344023)* (itemhOGIE,0.0003490482922643423) (itemDF5f3,0.00032321043545380235)* (itemsF3jV,0.0003142026253044605) (itemlN5jA,0.000305775785818696)* (itempLAQY,0.00030482409056276083) (item80q9y,0.00030015845550224185) (itemFsCNW,0.0002859941159840673) (item2FMEC,0.0002731872082222253) (itemg6NgV,0.00027070427313447)* (itemSEVUh,0.0002699824399314821) (itemPn5yf,0.0002674651623237878) (itemx52zm,0.0002660934696905315)
userboi7r: (itemLPkI9,0.00040880756569094956) (itemAj7Pj,0.00040289334720000625) (itemzfaal,0.000325279776006937) (item9M3lc,0.0003203900996595621) (iteme5OvS,0.0003140569606330246)* (itemHrihE,0.0002354603202547878) (itemEzeNr,0.00022339190763887018) (itemCVpf3,0.00019844221242237836) (itemEQ5kD,0.0001711327931843698) (itemvpxYm,0.00017008055874612182) (itemmMX2p,0.0001524904218968004)* (itemOCA2H,0.0001508454733993858) (itemxbm5F,0.00014479135279543698) (itemcVs96,9.752118785399944e-05) (itemCmV8W,9.349546598969027e-05)* (itemjeN5W,8.796624024398625e-05) (item7gr06,5.9696634707506746e-05) (item7XnWI,4.3210049625486135e-05) (itemABTMM,3.060607559746131e-05) (itemSEVUh,2.617511199787259e-05)
user9tzLJ: (itemRNQTR,0.0004263324080966413) (itemYgdNj,0.0003618287155404687)* (itemRy5SF,0.00030404096469283104)* (itemLPkI9,0.00026800864725373685) (item178I3,0.00023749964020680636) (itemFoRzs,0.0002368507266510278) (itemIrWce,0.00021079265570733696) (itemQkv6a,0.000199461544980295) (item162CY,0.0001968771975953132) (itemvpxYm,0.00019120177603326738) (itemnvCLA,0.00018436739628668875) (itemKckEp,0.00018312328029423952) (itemxbm5F,0.000180949573405087) (itemcAUzH,0.0001777091238182038)* (itemgoCpP,0.00014377740444615483) (itemsB45O,0.00014080142136663198) (itemY6045,0.00012139056343585253) (itemHrihE,0.00011173579696333036) (item80q9y,9.966523793991655e-05) (itemUo6cI,7.795352576067671e-05)*
userzioQY: (itemRNQTR,0.0003949478268623352) (itemBuZOt,0.0003628066915553063)* (itemf6vR5,0.0003336599620524794) (itemcAUzH,0.00031313818180933595) (item4p3W3,0.0002706699597183615) (itemHrihE,0.000260351924225688) (itemMzrpc,0.00024895142996683717) (itemlepVl,0.0002401005767751485)* (item0amMQ,0.0002392427995800972)* (itemJyBn3,0.0002353712625335902) (itemexwfY,0.00023434212198480964) (itemKHT0l,0.00021437091345433146) (itemXLYXV,0.00017835767357610166) (item4FB6e,0.00017158599803224206) (itemSEVUh,0.00016054471780080348) (itemqD4yX,0.00014860763621982187) (itemKckEp,0.00014213980466593057) (itemY6045,0.00013938092160969973)* (itemIrWce,0.00013630237663164735) (itemdjMTE,0.00013608958397526294)*
userRwvwk: (itemyWo9i,0.0005354568129405379) (itemWngsI,0.0004875707090832293) (itemaTHnd,0.00041813310235738754) (itemrDLmp,0.0003451954107731581) (itemLPkI9,0.0003149546100758016) (itemDAINx,0.00026495728525333107) (itemsaQmG,0.0002531902864575386) (item9M3lc,0.00024418497923761606) (item178I3,0.00024258019402623177) (itemakzor,0.00023296204744838178)* (itemZIbqG,0.0002326544199604541)* (item4YMYG,0.00023245092597790062) (itemTAGOA,0.000224130621063523)* (itemiXwHJ,0.00021809805184602737) (item0VuxA,0.00021532067330554128) (itemyo43o,0.00020253767434041947)* (itemMNxUT,0.00018432128126733005)* (itemUiRdE,0.0001817772281356156)* (itemEB2ZL,0.00016917174798436463)* (item0amMQ,0.0001689273485681042)
user2Vxqb: (itemFsCNW,0.0005036744987592101) (itemgRlgs,0.00041972845792770386)* (itemMzrpc,0.0003864562895614654)* (itemKckEp,0.0003482443280518055) (itemFzVAJ,0.0003324879799038172) (itemdqVVX,0.00032552986522205174)* (itemAlGQe,0.00029938743682578206) (itemIBbVf,0.0002670232206583023) (itemY6045,0.0002516981912776828) (itempLAQY,0.00024992565158754587)* (itemV1Vwk,0.00024924654280766845) (itemoSaYE,0.0002338302874704823) (itemcAUzH,0.0002316504396731034) (itemg6NgV,0.00022097595501691103) (itemzexIV,0.00017908780137076974) (itemRMr3n,0.00017357328033540398) (itemAzjPR,0.00017311109695583582) (itemjIyZN,0.00017116780509240925) (itemVHyMp,0.00015928437642287463) (itemTAGOA,0.00015347273438237607)
userLBXk0: (itemmt9Zs,0.00045999514986760914) (itemVZJC8,0.0004387158260215074) (itemxbm5F,0.00032104842830449343) (itemABTMM,0.00030253376462496817) (itemMzrpc,0.00029344003996811807) (itemy6Af3,0.0002910664479713887)* (itemRNQTR,0.00028559810016304255) (itemDYrOS,0.00026799694751389325) (itempLAQY,0.0002665775828063488) (item64Mnl,0.00024373448104597628) (itembHmsT,0.00022660408285446465) (itemlAKEf,0.00022384757176041603) (itemqppyW,0.00022270940826274455) (itemxwCH9,0.00021029685740359128) (itemgoCpP,0.0002009364980040118) (item7gr06,0.0001881845819298178)* (itemFoRzs,0.00016694358782842755)* (item1PK0V,0.00015739942318759859) (itemd7GN3,0.00014699841267429292) (itemMpeEL,0.0001396726001985371)
useriLMjp: (itemqD4yX,0.0006616821046918631) (itemqppyW,0.0005092129576951265) (itemehZbz,0.00028815612313337624) (itemgoCpP,0.00025404116604477167) (itemQkv6a,0.00025011185789480805) (itemcVs96,0.00023444616817869246)* (itemr1zoc,0.00023287610383704305) (itemBuZOt,0.00023176451213657856) (itemUo6cI,0.00023149340995587409) (itemEB2ZL,0.00020185094035696238) (itemY6045,0.00020162074360996485) (itemCVpf3,0.00019390686065889895) (item2FMEC,0.0001763915061019361) (itemr7q87,0.00017287481750827283) (itemguPDr,0.0001677321852184832) (itemUOpVk,0.0001560487289680168) (itemexwfY,0.00013867244706489146)* (itemSrPKx,0.00013648471212945879)* (itemUFxkv,0.00012682021770160645)* (itemzexIV,0.00012499078002292663)
userh6Cos: (itemVHyMp,0.0006658814963884652) (itemDYrOS,0.0005880769458599389)* (itemjIyZN,0.00046829949133098125) (itempGfZ6,0.0004200841940473765) (itemLPkI9,0.0003950737009290606) (itemAzjPR,0.0003655620675999671) (itemQkv6a,0.0002713165886234492) (itemdoXAn,0.0002609014045447111)* (itemd7GN3,0.00025958841433748603) (itemdjMTE,0.00023667817004024982) (item618n3,0.00020756098092533648) (itemFzVAJ,0.0001999013766180724)* (itemrDLmp,0.0001985845301533118) (item03CQ6,0.00019570669974200428) (itemlHCkK,0.0001805854553822428) (itemxvrbY,0.00017380925419274718) (itemsaQmG,0.0001574853085912764) (itemJyBn3,0.0001303225290030241) (itemEZob3,0.00012371447519399226) (item9M3lc,0.00011976964015047997)
userpbY1g: (itemg6NgV,0.00047910312423482537) (itemlN5jA,0.0004259042616467923)* (itemWeaex,0.00025491867563687265) (item9M3lc,0.0002280031330883503)* (item84cQ6,0.00022162783716339618)* (itemQStwf,0.0002178199210902676) (item03CQ6,0.0002129316853825003) (itemPOi9Y,0.0002054738870356232) (itemSEVUh,0.00018761761020869017) (itemzfaal,0.0001802651968318969) (itemaTHnd,0.00017873558681458235) (itemKe2Er,0.00017238249711226672) (itemJyBn3,0.0001577890507178381) (itemKHT0l,0.0001562807592563331)* (itemwAkpa,0.00015493339742533863)* (itemexwfY,0.0001466149988118559)* (itemAj7Pj,0.00013135939661879092) (item64Mnl,0.00011291134433122352) (itemvn3OC,0.00011203419853700325) (itemEB2ZL,0.00010064882371807471)*
userEAbmM: (iteme1aEV,0.0004945881082676351) (itema506d,0.00042274483712390065) (itemBuZOt,0.00033859809627756476) (itemiCowm,0.0003183190128766)* (itemlepVl,0.0002983005833812058)* (itemx52zm,0.0002611371746752411) (itemYOYte,0.0002210610982729122) (itemmt9Zs,0.00019790987425949425) (itemPzRe5,0.00019257153326179832) (itemr1zoc,0.00019080936908721924)* (itemkHjKP,0.00018172015552408993) (item2FMEC,0.0001754330878611654)* (item7XnWI,0.00017413272871635854) (item80q9y,0.00016548094572499394)* (itemBkBCG,0.0001543759135529399)* (itemjmSae,0.00015113757399376482) (item9lgJn,0.00014934007776901126) (itemtXKxm,0.00014398804341908544) (itemWUHgc,0.00013821666652802378) (itemgEevH,0.00012754026101902127)
userYcsX6: (itemxbm5F,0.0004593757912516594) (item23scr,0.000334043987095356)* (itemYOYte,0.0002928795001935214) (item178I3,0.00027325120754539967) (itemdC6Wf,0.0002385998668614775) (itemsF3jV,0.00022499164333567023) (item80q9y,0.0001906064571812749) (itemJyBn3,0.00018269542488269508)* (itemUyXau,0.00018264734535478055) (itemeROTS,0.00017331342678517103)* (itemhOGIE,0.00014573379303328693)* (itemllUul,0.00013235205551609397) (itemVARpF,0.00012202352081658319) (itemTAGOA,0.00011851632734760642) (itemZIbqG,0.0001122710746130906)* (item4YMYG,0.0001102094684028998) (item4FB6e,0.00010830404789885506) (itemFjQ4M,9.708708967082202e-05)* (itemAlGQe,9.687862620921806e-05) (item0VuxA,9.09704904188402e-05)
user2RzBb: (itemlHCkK,0.00032267533242702484) (itemWUHgc,0.00029046725830994546)* (itemYOYte,0.00028239708626642823) (itemTuHK9,0.00026463664835318923) (itemeROTS,0.0002645123458933085) (itemgRlgs,0.0002479449030943215) (item52xJ8,0.0002465614234097302)* (itemqF1uc,0.00022454684949479997) (itemPzRe5,0.00022388834622688591)* (itemDAINx,0.00021698203636333346) (itemDYrOS,0.00015564971545245498)* (itemr1zoc,0.00015280241495929658) (itemwinns,0.00014989799819886684) (item7gr06,0.0001419485779479146)* (itemiCowm,0.00014067445590626448) (itemehZbz,0.0001383079361403361) (itemRKTJC,0.00013729331840295345) (item618n3,0.00012719767983071506) (iteme1aEV,0.0001257694384548813) (item2FMEC,0.00011550688941497356)
user71qa3: (itemqppyW,0.0005272222915664315) (itemd7GN3,0.000512678932864219)* (itemup8oB,0.000503242074046284) (itemf6vR5,0.0004885396338067949) (itemmt9Zs,0.000476064276881516) (itemjeN5W,0.00044300605077296495) (itempLAQY,0.00044293145765550435) (itemcVs96,0.0003976834414061159) (itemlHCkK,0.0003938630979973823) (itemBmrIx,0.00037577294278889894) (itemlAKEf,0.00036004584399051964) (item52xJ8,0.00034770637284964323) (item4YMYG,0.00033293195883743465)* (itemDfuZl,0.000318184494972229) (itemDYrOS,0.00030832894844934344) (itemSeyqb,0.0002305891248397529) (itemd9ChJ,0.00022404119954444468) (itemEQ5kD,0.00022324803285300732) (itemr1zoc,0.00021951287635602057)* (itemcvY2p,0.00020497513469308615)
userAZO9y: (itempLAQY,0.000501359929330647) (itemjIyZN,0.00033119748695753515) (itemBmrIx,0.00031334609957411885) (itemy6Af3,0.0002665407373569906) (itemgRlgs,0.00022288676700554788) (itemVda4U,0.00021797724184580147) (itemexwfY,0.00021488696802407503)* (itemtXKxm,0.00020875496556982398) (item9lgJn,0.00018964483751915395) (itemh9nHh,0.00018252729205414653) (itemaTHnd,0.00017938809469342232) (itemqppyW,0.00016593928739894181) (itemSrPKx,0.0001455417077522725) (itemJaOdU,0.00013740221038460732) (itemFsCNW,0.00012420702842064202) (itemBkBCG,0.0001240084966411814)* (itemMzrpc,0.00012108997179893777) (itemeROTS,0.00011623054160736501) (itemZCI04,0.00010055870370706543) (itemnO4tX,9.166360541712493e-05)
userwC8yX: (itemZIbqG,0.0005095772794447839) (item9M3lc,0.00045651308028027415) (iteme1aEV,0.0003951720427721739)* (item31doJ,0.00037671264726668596) (itemVZJC8,0.0003491003008093685) (itemMpeEL,0.0002918843529187143) (itemgEevH,0.0002878954983316362) (itemr7q87,0.0002774710301309824) (itemguPDr,0.0002731269923970103) (item9muy9,0.00026889771106652915) (itemOCA2H,0.0002481226692907512)* (item1PK0V,0.00022667035227641463) (item03CQ6,0.00021907041082158685) (itemexwfY,0.00021211174316704273) (itemd9ChJ,0.00020803743973374367) (itemFzVAJ,0.00018565804930403829)* (itemjeN5W,0.00017713167471811175) (itemdC6Wf,0.00016163347754627466) (itemKckEp,0.00014379777712747455) (itemnvCLA,0.00013052724534645677)*
user1eta7: (itemqth87,0.00047384778736159205)* (itemAj7Pj,0.00044827882084064186) (itemMpeEL,0.00040678735240362585) (itemCVpf3,0.0003619484486989677) (itemTuHK9,0.0003608143306337297) (itemdC6Wf,0.0003590954001992941) (itemJyBn3,0.000252506259130314) (itemQkv6a,0.0002479868708178401) (itemEB2ZL,0.00023635796969756484)* (item4YMYG,0.0002187138015870005) (itemDYrOS,0.00020738870080094784)* (itemIBbVf,0.00020008988212794065) (itemHrihE,0.00019104094826616347) (item162CY,0.0001811221009120345)* (itemPOi9Y,0.00016236162628047168) (itemy6Af3,0.0001548950094729662) (item84cQ6,0.00013534148456528783) (itemxbm5F,0.00012889447680208832) (item31doJ,0.0001245979219675064) (itemuaFxY,0.00012326036812737584)
userYkF7h: (itemFsCNW,0.0004016780876554549) (itemjmSae,0.0003307554288767278) (itemllUul,0.00032731739338487387) (itemVda4U,0.000316148332785815) (itemVARpF,0.0002948828332591802) (itemf6vR5,0.00025440758327022195) (itemy6Af3,0.00025123884552158415) (item84cQ6,0.00025057935272343457) (itemdoXAn,0.0002456728252582252)* (itemcvY2p,0.00021851385827176273)* (item4YMYG,0.00020448070426937193) (item23scr,0.00019840995082631707) (itemEB2ZL,0.00019363680621609092) (item9lgJn,0.00017843568639364094) (itemuaFxY,0.00017724149802234024) (itemkHjKP,0.00017600310093257576)* (itemDYrOS,0.00016985551337711513)* (itemFoRzs,0.00015695751062594354) (itemGgwft,0.00014559642295353115) (itemoSaYE,0.00014322831702884287)*
userIqRCa: (itemzexIV,0.0004699188575614244)* (itemguPDr,0.00040403721504844725)* (itemIBbVf,0.000402893521822989)* (item7XnWI,0.0003812236827798188) (itemfL8PL,0.0003516079159453511) (itemySRfm,0.0003372104256413877) (itemdkR3x,0.000324154767440632)* (itemYgdNj,0.00027256988687440753)* (item31doJ,0.0002563321904744953) (itemDF5f3,0.0002556395484134555) (iteme1aEV,0.00025149298016913235) (itemH8gzP,0.0002098185068462044) (itemqppyW,0.00020954188948962837) (itemEB2ZL,0.00020663245231844485) (itemMzrpc,0.00020401817164383829) (itemr7q87,0.0001988609874388203)* (itemzfaal,0.00017905057757161558) (itemABTMM,0.00016254729416687042) (itemaTHnd,0.0001500994840171188) (itemoSaYE,0.00012184007209725678)
userbfNOX: (itemvQ7sQ,0.00034136700560338795) (itemFoRzs,0.0002564319293014705) (itemUo6cI,0.00024595396826043725) (itemgRlgs,0.0002094232477247715) (itemg6NgV,0.0001849167310865596) (itemGgwft,0.00016686164599377662) (itemiCowm,0.00015990914835128933)* (itemqF1uc,0.0001578864175826311) (itemySRfm,0.0001416304730810225) (itemxwCH9,0.00013579061487689614) (itemFjQ4M,0.00012984187924303114)* (itemSrPKx,0.00012739379599224776) (itemiXwHJ,0.00011230813834117725) (itemRMr3n,9.978785237763077e-05) (itemcvY2p,8.577556582167745e-05) (itemnvCLA,8.52466982905753e-05) (itemwAkpa,6.307879084488377e-05) (itemEwdGW,5.766426329500973e-05) (itemVARpF,5.426320421975106e-05)* (itemYp8lv,5.2723753469763324e-05)*
userLS2Nz: (itemcAUzH,0.0005206301575526595)* (itemgRlgs,0.0004701988073065877) (itemY6045,0.0004017395549453795) (itemvQ7sQ,0.00036356126656755805) (itemySRfm,0.00035008954000659287)* (itemIBbVf,0.00027400540420785546) (itemUiRdE,0.00026684204931370914) (itemehZbz,0.0002519116678740829) (itemiXwHJ,0.00023944085114635527) (itemw0Hbk,0.0002016168145928532) (itemDF5f3,0.0001948823919519782) (itemYgdNj,0.00017165638564620167) (item52xJ8,0.00016301670984830707) (itemFEgKI,0.0001576336071593687) (item4FB6e,0.00015727247227914631) (itemguPDr,0.00015663592785131186) (itemuz9u2,0.00015324403648264706) (itemQkv6a,0.00014859891962260008) (itemUyXau,0.00014853622997179627) (itemRMr3n,0.00014821504009887576)
