userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemyWo9i,0.0005685714422725141) (itemllUul,0.0005196083220653236) (itemgoCpP,0.00041960872476920485) (itemEwdGW,0.0003825066960416734) (itemVZJC8,0.00032536473008804023) (itemwinns,0.0002888495218940079) (item9M3lc,0.00025540406932123005) (itemqF1uc,0.00021894171368330717) (itemuNHoh,0.0002028920571319759) (itemOCA2H,0.00018927546625491232) (itemUOpVk,0.000184038290171884)* (itemdC6Wf,0.00017349468544125557)* (item4p3W3,0.00016526025137864053) (itemcVs96,0.0001584950223332271) (itemWngsI,0.0001563950499985367) (itemwrPNe,0.00015435897512361407) (itemWUHgc,0.0001448807743145153) (itemxCvQp,0.00013277537073008716) (itemakzor,0.00011658293078653514) (item0QA86,0.00011598938726820052)*
userts7VL: (itemjmSae,0.00043458474101498723) (itemQJNS2,0.00042282574577257037) (itemUo6cI,0.00038168617174960673) (itemdkR3x,0.0003816490061581135) (itemgEevH,0.0003798412799369544) (itemd7GN3,0.00032541839755140245)* (itemDfuZl,0.0003243028768338263) (itemWeaex,0.0002918651152867824) (itemx52zm,0.0002677623415365815) (itemCVpf3,0.0002584512112662196) (itemGgwft,0.0002566128096077591)* (itemjeN5W,0.0002517644898034632) (itemr7q87,0.0002437580842524767) (itemcvY2p,0.00023883840185590088) (iteme1aEV,0.00023509724996984005) (itemaTHnd,0.00022022242774255574) (itemnvCLA,0.00019128192798234522) (itemTuHK9,0.00015974152483977377) (itemH8gzP,0.00015521720342803746) (itemGAqYy,0.00013668046449311078)
user7igOt: (itemSEVUh,0.0005329803097993135) (itemzfaal,0.00035077487700618804) (itemGAqYy,0.00023614944075234234)* (itemRMr3n,0.0002298679028172046) (itemSeyqb,0.000207663542823866)* (itemEzeNr,0.00019596368656493723)* (itemDF5f3,0.00019312952645123005)* (item162CY,0.00018288553110323846)* (itemv7Clw,0.00015653821174055338) (itemYgdNj,0.00011934242502320558) (itemdkR3x,0.00010233059583697468)* (itemmMX2p,9.69127140706405e-05) (itemFsCNW,9.378199320053682e-05) (itemLPkI9,8.531348430551589e-05) (itemySRfm,6.2385959608946e-05)* (itemVda4U,5.23028320458252e-05) (itemSnsYW,5.078146205050871e-05) (itemsB45O,3.3043826988432556e-05)* (itemcWumf,2.752333239186555e-05) (itemQStwf,2.508205216145143e-05)
usergnJHC: (itempLAQY,0.0002760443021543324)* (itemPn5yf,0.0002375796902924776) (itemvHkzH,0.0002172854437958449) (item6hTeJ,0.0002090298803523183) (itemSrPKx,0.00018211368296761066) (itemUiRdE,0.0001768126676324755) (items32yz,0.0001450428826501593)* (itemUyXau,0.00011102834832854569) (item0VuxA,0.00010420918260933831) (item96Uu6,0.00010186646977672353) (itemDYrOS,9.691152081359178e-05) (itemFEgKI,9.561242040945217e-05) (item9muy9,8.249315578723326e-05) (item618n3,7.860851474106312e-05)* (itemaTHnd,7.310675573535264e-05) (itemGgwft,7.010352419456467e-05)* (itemPzRe5,6.563353235833347e-05) (itemnO4tX,5.4285803344100714e-05) (itemVARpF,5.062010313849896e-05) (itemiXwHJ,4.7048000851646066e-05)*
userOLph1: (itemJyBn3,0.0004887290415354073) (itemvjUdv,0.0004322825407143682) (itemzfaal,0.00036134268157184124) (itemAj7Pj,0.00034699338721111417) (item9M3lc,0.00028405775083228946) (items32yz,0.0002602302120067179) (itemPOi9Y,0.00019055580196436495)* (itemGAqYy,0.00017865582776721567) (itemjeN5W,0.00017669578664936125)* (itemRNQTR,0.00017410404689144343) (itemZCI04,0.000173073640326038) (itemwBj8x,0.00015884358435869217) (itemCVpf3,0.00015485809126403183) (itemyWo9i,0.0001259772980120033) (itemcvY2p,9.412826329935342e-05) (itemguPDr,9.364282595925033e-05) (itemw0Hbk,8.715860894881189e-05) (itemva2ph,8.54766258271411e-05) (itemKHT0l,7.846944208722562e-05) (itemLPkI9,7.736437692074105e-05)
useryDDtx: (item84cQ6,0.00041649493505246937)* (itemRMr3n,0.00040410622023046017) (itempLAQY,0.00040190963773056865) (itemvn3OC,0.00037863769102841616) (item9DjWX,0.00032866024412214756) (itemAlGQe,0.00031273122294805944) (itemWUHgc,0.00029082808759994805) (itemx52zm,0.00025252040359191597)* (itemSrPKx,0.00022304063895717263) (itemup8oB,0.00021105492487549782)* (itemzfaal,0.00019212694314774126) (itemUOpVk,0.00017571094213053584) (itemmMX2p,0.00014915333304088563) (itemuNHoh,0.0001407518284395337) (itemSeyqb,0.00012493944086600095) (itemiCowm,9.977207810152322e-05)* (itemrT9kO,9.778165986062959e-05) (item80q9y,9.135916479863226e-05) (itemsaQmG,8.980827988125384e-05) (itemFzVAJ,8.721753692952916e-05)
userwzRLZ: (itemJyBn3,0.00036151346284896135) (itemdoXAn,0.000350736896507442)* (itemcAUzH,0.00030766453710384667) (itemRNQTR,0.00029850119608454406) (item7XnWI,0.00029810064006596804) (item9muy9,0.0002866045688278973) (itemnO4tX,0.0002814322360791266) (itemkHjKP,0.00025413892581127584) (item4FB6e,0.0001598705566721037) (itemABTMM,0.00015035791147965938) (itemFEgKI,0.00013184372801333666)* (itemqF1uc,0.0001277058181585744) (itemFoRzs,0.00012259630602784455) (itemDF5f3,0.00011170195648446679) (item4YMYG,9.33801056817174e-05)* (itemd7GN3,9.234641765942797e-05) (item6hTeJ,8.107668691081926e-05)* (item178I3,7.480759813915938e-05) (itemAlGQe,7.001415360718966e-05) (item96Uu6,6.13970187259838e-05)
userhuvtK: (itempGfZ6,0.0007550615118816495) (itemuaFxY,0.0005913710920140147) (itemLPkI9,0.0005534843658097088) (itemYOYte,0.0003626321558840573) (itemDYrOS,0.000282510241959244) (item64Mnl,0.00025976652977988124) (itemV1Vwk,0.00023815204622223973) (itemfL8PL,0.00022093747975304723) (itemrT9kO,0.00021298948558978736) (itemmMX2p,0.0001967516727745533) (itemKHT0l,0.00016051983402576298) (itemABTMM,0.00013996189227327704) (itemHrihE,0.00013801803288515657)* (itemiCowm,0.00012103011249564588) (itemCVpf3,0.00012064579641446471) (item9lgJn,0.00010008907702285796) (itemEQ5kD,9.7951568022836e-05) (itemva2ph,8.969439659267664e-05) (itemSeyqb,8.529052138328552e-05) (itemeROTS,7.344609184656292e-05)
userEiWs5: (itemfL8PL,0.0005484757130034268) (itemgoCpP,0.00046304974239319563)* (itemLDh7R,0.000407680228818208) (itemBmrIx,0.0003698659420479089) (itemqppyW,0.00032200870919041336) (itemWngsI,0.00031140350620262325) (itemRy5SF,0.0002555211540311575) (itemTAGOA,0.00024164741626009345) (item162CY,0.0002349307615077123) (itemCVpf3,0.00019675760995596647)* (itemr1zoc,0.00019230175530537963)* (itemEB2ZL,0.0001855127775343135) (itemuaFxY,0.00018281047232449055) (itemexwfY,0.00017879213555715978)* (itemOCA2H,0.00017164027667604387) (itemTuHK9,0.00010945586836896837) (item4FB6e,0.00010922479850705713) (item31doJ,0.00010110957373399287) (item9muy9,0.00010052281140815467)* (itemEQ5kD,9.701952512841672e-05)
userGadv3: (itemTuHK9,0.0004556692438200116) (itemRKTJC,0.00037727429298684) (itemUyXau,0.00037321686977520585) (itemvQ7sQ,0.0003423699818085879) (itemxwCH9,0.0003070900565944612)* (itemmbGoj,0.0003054193512070924) (itemcvY2p,0.00027576193679124117) (itemZCI04,0.0002548089250922203) (itemBmrIx,0.00020933823543600738)* (item618n3,0.0001998888183152303) (itemexwfY,0.0001786158245522529) (itemQJNS2,0.000175713692442514) (item64Mnl,0.0001622726849745959) (itemjIyZN,0.00016208429588004947)* (itemKHT0l,0.00015296312631107867) (itemSEVUh,0.00011828631977550685) (itemsB45O,0.00011343169899191707) (itemWeaex,0.00011235545389354229) (itemva2ph,0.00011076520604547113) (itemnO4tX,0.00010598151857266203)*
useriqm2l: (item7XnWI,0.0005456827348098159) (itemwinns,0.00037242562393657863) (itemxvrbY,0.00035535963252186775) (item2FMEC,0.0003545659128576517) (itemh9nHh,0.0003231997834518552) (itemvjUdv,0.0003054572152905166) (itemlepVl,0.0002995160175487399) (itemvpxYm,0.0002900497638620436)* (itemyWo9i,0.00027828523889184) (item9M3lc,0.00027779763331636786) (itemvHkzH,0.000216486761928536) (itemySRfm,0.00019998606876470149) (itemjIyZN,0.00019651155162137002)* (itemOCA2H,0.0001922219671541825) (itemYgdNj,0.00017921929247677326)* (itemgRlgs,0.0001732896635076031)* (itemABTMM,0.00015730274026282132) (itemV1Vwk,0.00014352929429151118) (itemH8gzP,0.00013985033729113638) (item52xJ8,0.00013968991697765887)
userfIZMV: (itemGgwft,0.00043830624781548977) (itemqD4yX,0.0004176389775238931)* (itemSEVUh,0.00040213263127952814)* (itemgoCpP,0.000398296833736822) (itemjeN5W,0.0003717856016010046) (itemBkBCG,0.00036817576619796455) (itemw0Hbk,0.00034504325594753027) (itemg6NgV,0.0003228796413168311) (itemVda4U,0.00026322310441173613) (itemrT9kO,0.000255396356806159) (itemfL8PL,0.00023425681865774095) (itemWeaex,0.0002310784038854763) (itemwrPNe,0.00022337792324833572) (itemgEevH,0.00015401456039398909)* (itemnO4tX,0.0001339872251264751) (itemzfaal,0.00012929851072840393) (itemf6vR5,0.00011482815898489207) (itempGfZ6,0.00011452790931798518) (item84cQ6,0.00010500061034690589)* (item9lgJn,0.00010124842810910195)
user6btfJ: (item23scr,0.0005950282793492079) (itemyo43o,0.0003557590243872255) (itemtXKxm,0.00034539905027486384)* (itemexwfY,0.000314196920953691) (itemrDLmp,0.0002476870722603053) (itemRKTJC,0.00023917685030028224) (item80q9y,0.00022200460080057383)* (itemhOGIE,0.00022132546291686594) (itempGfZ6,0.00020998218678869307) (itemllAnb,0.00020575278904289007) (itema506d,0.00019333547970745713) (itemvQ7sQ,0.0001908954291138798) (itemWeaex,0.00015248663839884102) (itemY6045,0.00013930756540503353) (itemlHCkK,0.0001144885754911229) (item1PK0V,9.327396401204169e-05) (itemFjQ4M,8.516450179740787e-05)* (itemUyXau,7.883910438977182e-05)* (item7XnWI,5.48780444660224e-05) (item0QA86,4.486867692321539e-05)*
useriL4c2: (itemQJNS2,0.0005090326303616166) (itemcVs96,0.00046718664816580713) (itemDF5f3,0.0004455051675904542) (itemMzrpc,0.000403796904720366) (itemguPDr,0.00040324561996385455) (itemvHkzH,0.0003917341527994722) (itemH8gzP,0.0003798085090238601) (iteme5OvS,0.0003477977588772774)* (itemllUul,0.0003468093927949667)* (itemMpeEL,0.00034016850986517966) (itemBmrIx,0.00033742806408554316)* (itemtXKxm,0.000284317706245929) (itemv7Clw,0.00023569400946144015) (itemlepVl,0.00022834507399238646) (item9muy9,0.00022805904154665768) (itemEQ5kD,0.00020397377375047654)* (itemEB2ZL,0.00020022416720166802)* (item618n3,0.0001995115599129349) (item2FMEC,0.00012737730867229402) (itemRKTJC,0.00012367208546493202)
userYKjNX: (item2FMEC,0.00042819802183657885) (iteme1aEV,0.00035367999225854874) (itemPzRe5,0.00034759880509227514) (itemXLYXV,0.0002695969305932522) (itemSEVUh,0.0002688345266506076) (itemwAkpa,0.00022380577865988016) (item96Uu6,0.00019405910279601812) (item7XnWI,0.00019036108278669417) (itemlepVl,0.00018146821821574122) (itemEwdGW,0.00018100209126714617) (itemUo6cI,0.00016992969904094934)* (itemoSaYE,0.00015901932783890516) (itemEzeNr,0.0001475926546845585) (itemaTHnd,0.00013434671564027667)* (itemBmrIx,0.00013187856529839337) (itemDF5f3,0.00011340932542225346)* (itemSeyqb,0.00010029363329522312) (itemQStwf,9.79120668489486e-05) (itemnO4tX,9.132178092841059e-05) (itemuz9u2,8.425496343988925e-05)
userOBLWP: (itemWngsI,0.000826451403554529) (item0VuxA,0.0006233813473954797) (itemqth87,0.0006032311357557774) (itemLDh7R,0.0005866409046575427) (itemFEgKI,0.0005788038833998144) (itemxvrbY,0.0005593335372395813) (itemuaFxY,0.000495066458825022) (itemnvCLA,0.000357914250344038)* (itemYgdNj,0.0003379524277988821) (itemcVs96,0.00032607425237074494) (itemmbGoj,0.00030270684510469437)* (itemXxPjl,0.00029486490529961884) (itempLAQY,0.0002796868793666363) (item31doJ,0.00026825565146282315) (itemRy5SF,0.00024883661535568535) (itemlN5jA,0.00023759542091283947)* (itemgEevH,0.0002219244634034112) (itemKckEp,0.00019471051928121597)* (itemjeN5W,0.00017621302686166018) (itemN8AZu,0.00017118998221121728)*
userboi7r: (itemw0Hbk,0.0005357489571906626) (itemcVs96,0.00040462013566866517) (itemABTMM,0.00037576016620732844) (itemRNQTR,0.00034045230131596327)* (itemjeN5W,0.0002671096590347588) (item52xJ8,0.00024939447757788) (item7XnWI,0.0002260005276184529) (itemoSaYE,0.00021617914899252355) (itemQJNS2,0.0002156374102924019) (iteme5OvS,0.00016515827155672014)* (itemjIyZN,0.0001470662245992571) (itemMzrpc,0.00014653541438747197)* (itemYOYte,0.00014286622172221541) (itemup8oB,0.0001277642440982163) (itemehZbz,0.00011509275645948946) (itemDF5f3,0.00011043519771192223) (item0MxmA,8.287496893899515e-05) (itemva2ph,7.576821371912956e-05) (item0QA86,5.1657785661518574e-05) (itemSEVUh,4.5578883145935833e-05)
user9tzLJ: (itemgRlgs,0.0004276350955478847) (item162CY,0.00039336405461654067) (itemRNQTR,0.00038391357520595193) (itemMzrpc,0.00032050040317699313) (itemnvCLA,0.0002902937703765929) (itemWUHgc,0.0002557507250458002) (itempGfZ6,0.0002473745262250304) (itemsB45O,0.00023583765141665936) (itemFsCNW,0.00022437427833210677) (itemBkBCG,0.00018652858852874488) (itemvHkzH,0.00016085687093436718) (item9lgJn,0.00013275572564452887) (itemdqVVX,0.00013128752470947802) (item178I3,0.0001089572615455836) (itemOCA2H,0.00010862377530429512) (itemzexIV,0.00010470215056557208) (itemlAKEf,0.00010188417218159884) (itemg6NgV,9.284357656724751e-05) (itemAlGQe,8.909245661925524e-05) (itemguPDr,8.526236342731863e-05)
userzioQY: (itemFsCNW,0.00039729641866870224) (itemcWumf,0.0003460905281826854) (itemSW5s8,0.0003161016502417624) (itemehZbz,0.00028771444340236485) (itemdjMTE,0.0002854687045328319)* (itemcVs96,0.00028121881769038737) (item64Mnl,0.0002757178735919297) (itemiCowm,0.00025223952252417803) (itemyWo9i,0.00024331448366865516)* (itemMzrpc,0.00022303145669866353) (itemRNQTR,0.00019925570813938975) (item4FB6e,0.00017874319746624678) (itemy6Af3,0.0001708625932224095) (itemx52zm,0.00016440081526525319) (item4p3W3,0.00015002592408563942) (itemlepVl,0.00013494110316969454)* (itemQJNS2,0.00010524909885134548)* (itemRy5SF,0.00010177430522162467) (itemAj7Pj,8.706041262485087e-05) (itemr1zoc,7.909824489615858e-05)
userRwvwk: (itemMNxUT,0.0004150221648160368)* (itemFEgKI,0.00037541246274486184) (itemUOpVk,0.0003667191485874355) (itemyWo9i,0.0003470837837085128) (itemg6NgV,0.00034434106783010066) (itemakzor,0.00033526093466207385)* (itemllAnb,0.00032095328788273036) (itemwinns,0.00030425653676502407) (item7gr06,0.0003022196178790182) (itemMzrpc,0.00027013412909582257) (itemFoRzs,0.0002693403512239456)* (itemQJNS2,0.00020886221318505704)* (itemxCvQp,0.00020728893287014216) (itemPOi9Y,0.0002010711032198742) (itemaPbf4,0.0001922214578371495) (item52xJ8,0.00019048787362407893) (itemwrPNe,0.00015798714593984187) (itemY6045,0.00015769462333992124) (itemv7Clw,0.0001250083150807768) (item9lgJn,0.00012401991989463568)
user2Vxqb: (itemySRfm,0.0004205509030725807) (itemPzRe5,0.00036673180875368416) (itemguPDr,0.000361456535756588) (item03CQ6,0.000337170553393662) (itemfL8PL,0.0003265131963416934) (itemxCvQp,0.00031976186437532306) (itemEB2ZL,0.0003144904039800167) (itemVARpF,0.0002985074825119227) (itemvpxYm,0.0002889748429879546)* (itemrDLmp,0.00028698978712782264) (itemWngsI,0.00026313134003430605) (itemBuZOt,0.0002623442851472646)* (itemRKTJC,0.0002535408129915595) (itemJaOdU,0.00020359503105282784) (itemoSaYE,0.0001995297207031399) (item9lgJn,0.00019810788217000663) (item6hTeJ,0.0001948222634382546) (itemd9ChJ,0.00018855671805795282) (itemcvY2p,0.00017561845015734434) (itemRMr3n,0.0001601455733180046)
userLBXk0: (itemv7Clw,0.0004894448211416602) (itemsF3jV,0.00039664312498643994)* (itemEQ5kD,0.00032600024132989347) (iteme1aEV,0.0003104237839579582) (itempLAQY,0.00027191589470021427) (itemxCvQp,0.00024786204448901117) (itemx52zm,0.00022541379439644516) (item1PK0V,0.0001952745660673827) (item23scr,0.00018939127039629966) (itemjeN5W,0.00017303416098002344) (itemgEevH,0.00015268241986632347) (item9muy9,0.00014965247828513384) (itemV1Vwk,0.00012838354450650513) (itemJaOdU,0.00012034321116516367)* (itemVda4U,0.00010740457219071686) (iteme5OvS,9.31978429434821e-05) (itemH8gzP,5.070949191576801e-05) (itemqD4yX,4.33153472840786e-05)* (itemr7q87,3.618403570726514e-05)* (itemuz9u2,2.9506343707907945e-05)*
useriLMjp: (itemYp8lv,0.0005689876270480454) (itemVda4U,0.0004977028584107757) (itemqF1uc,0.0004364991909824312)* (itemwrPNe,0.0004110455047339201) (itemH8gzP,0.00041093595791608095) (itemwinns,0.0004092066956218332) (itemtXKxm,0.00038407748797908425)* (itemehZbz,0.00035525450948625803) (itemqth87,0.0003495717537589371)* (itemUiRdE,0.0002712551213335246) (itemEB2ZL,0.0002502567367628217) (item64Mnl,0.00020840403158217669)* (itemWUHgc,0.0001961431698873639) (itemguPDr,0.0001854936417657882) (itemXxPjl,0.00018197548342868686) (itemr7q87,0.00017746306548360735) (itemvjUdv,0.0001772379328031093) (itemqppyW,0.00017313621356151998) (itemQJNS2,0.00017046186258085072) (itemzexIV,0.00014838823699392378)
userh6Cos: (itempGfZ6,0.0004550709272734821) (itemtXKxm,0.0003837372350972146) (itemDYrOS,0.00035293021937832236)* (itemVHyMp,0.0003034744004253298) (itemBkBCG,0.000265167880570516) (item162CY,0.00023927411530166864) (itema506d,0.00022749669733457267) (itemAzjPR,0.0002129031636286527) (item9M3lc,0.00017690171080175787) (itemjmSae,0.0001741099840728566) (itemkHjKP,0.00014874295447953045)* (itemPOi9Y,0.00014427545829676092) (itemCmV8W,0.00014380579523276538) (itemAj7Pj,0.0001197036835947074) (itemlHCkK,0.00011875591007992625) (itemLPkI9,0.00011181355512235314) (itemOCA2H,9.925682388711721e-05) (iteme1aEV,9.434214734937996e-05) (itemvQ7sQ,8.662036998430267e-05) (item03CQ6,7.186921720858663e-05)
userpbY1g: (item84cQ6,0.0005435522180050611)* (itemwrPNe,0.000328627647832036) (itemySRfm,0.00031510047847405076)* (itemwAkpa,0.00029658133280463517)* (itemJyBn3,0.00029371221899054945) (itemxCvQp,0.0002540012646932155) (itemMzrpc,0.0002406580897513777) (itemKckEp,0.00023829967540223151) (item0VuxA,0.00021674195886589587) (item9muy9,0.0001771962270140648) (itemlN5jA,0.0001687685726210475)* (itemDF5f3,0.0001631446066312492) (itemfL8PL,0.0001570659369463101) (itemdC6Wf,0.00013558080536313355) (item52xJ8,0.0001290541549678892) (itemakzor,0.00011564804299268872) (itemEB2ZL,0.00010489101259736344)* (itemWngsI,0.0001041930663632229) (iteme1aEV,0.00010193578782491386) (item03CQ6,9.892627713270485e-05)
userEAbmM: (itemyWo9i,0.0005208608345128596) (itemmt9Zs,0.00048530352069064975) (item03CQ6,0.00034803079324774444) (itemBmrIx,0.0003316421352792531) (itemPOi9Y,0.00028907967498525977) (itemllUul,0.0002467248705215752) (itemv7Clw,0.0002419496449874714) (itemBkBCG,0.00021714597824029624)* (itembHmsT,0.00020683888578787446) (item162CY,0.00019233289640396833) (itemrT9kO,0.0001314946566708386) (itemy6Af3,0.00012119744496885687) (item2FMEC,0.00011031614849343896)* (itemIrWce,9.887899796012789e-05) (itemABTMM,7.482279761461541e-05) (item9lgJn,5.9716199757531285e-05) (itemYOYte,3.9041886338964105e-05) (itemWUHgc,3.86674000765197e-05) (item618n3,2.8733345970977098e-05) (itemcAUzH,1.5655357856303453e-05)
userYcsX6: (item178I3,0.0005894547211937606) (itemup8oB,0.00047594908392056823)* (item0VuxA,0.00043477892177179456) (item9lgJn,0.0003714266640599817) (itemdkR3x,0.0003629818093031645)* (itemLDh7R,0.00034261337714269757) (itemeROTS,0.0003303610719740391)* (itemUyXau,0.00032853250741027296) (itemTAGOA,0.00031765177845954895) (itemDF5f3,0.0003120399487670511)* (itemEB2ZL,0.00031049447716213763)* (itemtXKxm,0.000260636123130098) (itemfL8PL,0.00025489661493338645)* (itemJaOdU,0.0002152847300749272) (itemmMX2p,0.00020986059098504484) (itemjIyZN,0.0001990834134630859) (itemvHkzH,0.0001939857320394367) (item6hTeJ,0.0001650261110626161)* (itemkHjKP,0.0001484258973505348) (itemYgdNj,0.00013542664237320423)
user2RzBb: (items32yz,0.0005564038874581456) (itemqppyW,0.0005232180119492114) (itemIrWce,0.00048469629837200046) (itemlHCkK,0.0003087995573878288) (itemqF1uc,0.0002894426288548857) (itemwinns,0.00024068570928648114) (item4YMYG,0.00018293580797035247) (itemaTHnd,0.00016186186985578388) (itemCmV8W,0.00013511962606571615)* (itemdjMTE,0.00013120924995746464) (itemFoRzs,0.00012521770258899778) (itemDfuZl,0.0001233475049957633) (itemFzVAJ,0.0001200223559862934) (itemehZbz,0.00011956654634559527) (itemdC6Wf,0.00010999394726241007) (item7XnWI,9.280836093239486e-05) (itemd7GN3,8.868885925039649e-05) (itemUo6cI,8.410473674302921e-05) (itemLDh7R,5.7656754506751895e-05) (item03CQ6,5.137694824952632e-05)
user71qa3: (itemrT9kO,0.0004871411365456879) (itemcVs96,0.0004202259879093617) (itemgoCpP,0.00039527268381789327)* (itemBkBCG,0.0003410524222999811)* (iteme1aEV,0.0003225335094612092) (itemAzjPR,0.00031277816742658615) (itemg6NgV,0.0002932269126176834)* (itemoSaYE,0.0002875791979022324) (itemmt9Zs,0.00025052728597074747) (itemr1zoc,0.00023514377244282514)* (itemwrPNe,0.00022788374917581677) (itemup8oB,0.0002250618563266471) (item618n3,0.00018691449076868594) (itemDF5f3,0.0001826535299187526)* (itemxCvQp,0.0001729879149934277) (item52xJ8,0.0001435191952623427) (itemV1Vwk,0.00013442539784591645) (iteme5OvS,0.00012734945630654693) (itemRy5SF,0.00010684370499802753) (itemdqVVX,9.053296525962651e-05)
userAZO9y: (itemBkBCG,0.0004405280633363873)* (itemtXKxm,0.00037356099346652627) (itemSeyqb,0.000325712317135185) (item0amMQ,0.00032472392194904387) (itemMNxUT,0.00029394394368864596)* (itemgEevH,0.0002893400960601866)* (itembHmsT,0.00027003552531823516) (item84cQ6,0.00023981244885362685)* (itemxCvQp,0.0002334442688152194)* (itemEzeNr,0.0001974466722458601) (itemiXwHJ,0.00019499228801578283) (itemySRfm,0.00018229200213681906) (itemeROTS,0.0001230555062647909) (itemCVpf3,0.00012212913134135306) (itempLAQY,0.00010412334813736379) (iteme5OvS,9.852241055341437e-05)* (itemmt9Zs,7.917988114058971e-05) (itemuaFxY,7.475798338418826e-05)* (itemHrihE,6.90504748490639e-05) (itemzexIV,5.2912975661456585e-05)
userwC8yX: (item9M3lc,0.0005013826303184032) (itemRKTJC,0.0004102460516151041) (itemVda4U,0.00039685232331976295) (itemjeN5W,0.0003862631565425545) (itemJaOdU,0.00030988972866907716)* (item0amMQ,0.0002844909322448075)* (itemr1zoc,0.00028344494057819247) (itemDfuZl,0.0002794153115246445)* (itemABTMM,0.0002652516704984009)* (itemAj7Pj,0.0002228980592917651)* (itemgoCpP,0.00021563604241237044) (itemguPDr,0.00019347158377058804) (itemFsCNW,0.00018387302407063544) (item03CQ6,0.00018287533021066338) (itemMpeEL,0.00017514132196083665) (itemAlGQe,0.00016958882042672485) (itemDF5f3,0.00015410545165650547)* (item9muy9,0.00013651025074068457) (itempLAQY,0.000134039088152349) (itemva2ph,0.00013229888281784952)
user1eta7: (itemKHT0l,0.0004838021704927087) (itemAj7Pj,0.00040179360075853765) (itemXLYXV,0.0003455552796367556) (itemWngsI,0.00028549713897518814) (itemtXKxm,0.0002750908024609089) (itemdqVVX,0.00026148109463974833) (itemCVpf3,0.00026096467627212405) (itemTuHK9,0.00025510284467600286) (itemQkv6a,0.00025467362138442695) (itemeROTS,0.0002353302697883919)* (item64Mnl,0.00022120738867670298)* (itemuNHoh,0.0002102174039464444) (itemdC6Wf,0.00018325717246625572) (itemEB2ZL,0.00017974372894968837)* (itemPn5yf,0.0001528943539597094) (itemSW5s8,0.0001391161058563739) (itemOCA2H,0.00010874948929995298) (itemgRlgs,0.00010709603520808741)* (itemkHjKP,0.00010021237540058792) (itemuaFxY,9.249353024642915e-05)
userYkF7h: (itemnO4tX,0.0005205640336498618) (item4FB6e,0.0005180287407711148) (itemlepVl,0.00036445976002141833) (itemV1Vwk,0.0003594545414671302) (itemwrPNe,0.0003523361519910395) (itemllUul,0.0003491634561214596) (itemJyBn3,0.0003168592811562121) (item0amMQ,0.00028137065237388015) (itemdoXAn,0.0002794511674437672)* (itemEB2ZL,0.00022597300994675606) (item9M3lc,0.00022099957277532667) (itemcWumf,0.00021988539083395153) (itemsaQmG,0.00019654521020129323) (itemAj7Pj,0.000180378308868967) (itemRy5SF,0.00015755667118355632) (itemFsCNW,0.00013743640738539398) (items32yz,0.00013559313083533198) (itemhOGIE,0.00013187005242798477) (iteme1aEV,0.0001284492900595069) (itemXxPjl,0.00011800807260442525)
userIqRCa: (item03CQ6,0.0004237407410982996) (itemVZJC8,0.0004116406780667603) (item7gr06,0.000409509870223701) (itemSnsYW,0.0003870574291795492) (itemRNQTR,0.0003496748977340758) (itemFEgKI,0.00033471648930571973) (itemGAqYy,0.00032966647995635867) (itemfL8PL,0.0002730276028160006) (itemIrWce,0.000269574869889766) (itemZCI04,0.00026294810231775045) (itemmMX2p,0.0002623148902785033) (item9muy9,0.0002201060560764745) (itemWUHgc,0.00021969227236695588) (itemAj7Pj,0.0002066592569462955) (itemABTMM,0.00018865129095502198) (itemUyXau,0.0001677916297921911) (itemVHyMp,0.0001506645930930972)* (itemzfaal,0.00014752337301615626) (itemr7q87,0.00014749134425073862)* (itemSEVUh,0.0001456506724935025)
userbfNOX: (itemzexIV,0.00047025232925079763)* (item1PK0V,0.0003714579506777227)* (itemg6NgV,0.0003322073898743838) (item178I3,0.00029895585612393916) (itemFzVAJ,0.0002882209955714643)* (itemFoRzs,0.00028332043439149857) (item6hTeJ,0.00026745235663838685)* (iteme5OvS,0.0002609424409456551) (itemYp8lv,0.00024591878172941506)* (itemsB45O,0.0002369571739109233)* (itemTAGOA,0.00022086991521064192) (itemySRfm,0.00018565024947747588) (itemqppyW,0.00018113505211658776) (itemLDh7R,0.00014816096518188715) (item0rrNz,0.00014170451322570443) (itemxwCH9,0.00014140090206637979) (item7XnWI,0.00011532925418578088) (itemvQ7sQ,0.0001145411079050973) (itemRKTJC,0.00011027816071873531)* (itemgRlgs,0.0001063673262251541)
userLS2Nz: (item52xJ8,0.00034150166902691126) (itemUFxkv,0.00033486937172710896) (item84cQ6,0.0003023161261808127) (itemehZbz,0.00026198988780379295) (itemY6045,0.0002529139455873519) (itemyo43o,0.00023115503427106887) (itemIBbVf,0.0002102516300510615) (itemZIbqG,0.00019688098109327257) (item0QA86,0.000191487415577285) (itemQkv6a,0.00018706487026065588) (itemd9ChJ,0.00016789973597042263)* (itemjmSae,0.00016718803090043366) (itemcvY2p,0.00016394628619309515)* (itemcWumf,0.00013452157145366073) (itemAzjPR,0.00011084037396358326) (itemRKTJC,0.00011016447388101369) (itemAj7Pj,0.00010474284499650821) (itemV1Vwk,0.00010093463060911745) (itemvpxYm,8.335027087014169e-05) (itemxbm5F,7.05606653355062e-05)
