userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemlN5jA,0.00037051827530376613) (itemnvCLA,0.00033355806954205036) (itemDYrOS,0.0003287862055003643) (itemVARpF,0.00032118428498506546) (itemFsCNW,0.0003144147340208292)* (itemcVs96,0.00028728815959766507) (itemVHyMp,0.0002734840090852231) (itemdjMTE,0.0002491893246769905) (itemRMr3n,0.00024522707099094987) (itemAzjPR,0.00023180333664640784) (item84cQ6,0.00022777169942855835) (itemTuHK9,0.0002017355291172862)* (itemrT9kO,0.0001869479747256264) (itemuNHoh,0.000175931811099872) (itemlHCkK,0.00017277500592172146)* (item9lgJn,0.00016036008310038596) (item618n3,0.00012488615175243467) (itemYOYte,0.00012343966227490455) (itemwrPNe,0.0001194007127196528) (itemFEgKI,0.00011606253974605352)*
userts7VL: (itemup8oB,0.0006039801519364119)* (item0QA86,0.0005594446556642652) (itemCmV8W,0.00045261066406965256) (itemguPDr,0.00044642132706940174) (item0VuxA,0.000418584473663941) (itemTuHK9,0.0003814603842329234) (itemllUul,0.0003708218864630908) (itemCVpf3,0.00035767193185165524) (itemv7Clw,0.00033722905209288) (itemHrihE,0.0003359428374096751)* (item96Uu6,0.0003271671012043953) (item2FMEC,0.00031569984275847673) (itemIrWce,0.0002862937399186194) (itemVda4U,0.0002835621125996113) (itemVARpF,0.0002823818940669298) (itemexwfY,0.00025948858819901943) (itemwAkpa,0.00021934010146651417) (itemnvCLA,0.00017931261390913278) (itemy6Af3,0.0001776006683940068) (itemjmSae,0.00015532445104327053)
user7igOt: (iteme1aEV,0.0004381322651170194) (item0rrNz,0.00034134421730414033)* (itemXxPjl,0.00032903329702094197) (item80q9y,0.000308324524667114) (itemDfuZl,0.00025762952282093465) (itemexwfY,0.00021140926401130855) (itemcVs96,0.0001799870515242219)* (itemVda4U,0.00017718912567943335) (itemFzVAJ,0.00017461637617088854) (itemgEevH,0.0001444910012651235)* (item03CQ6,0.0001357380097033456) (item618n3,0.00013484832015819848) (itemaTHnd,0.00013333985407371074) (itemSeyqb,0.00011826975969597697)* (itemDF5f3,0.00011657873255899176)* (itemzfaal,0.00010743108578026295) (itemQStwf,0.00010492183355381712) (itemaPbf4,8.316884486703202e-05) (itemVHyMp,8.248329686466604e-05) (itemfL8PL,7.914338493719697e-05)
usergnJHC: (itemGAqYy,0.0002947522443719208) (itemDfuZl,0.00028215779457241297)* (itemdkR3x,0.0002758225309662521)* (itemRMr3n,0.00023665500339120626) (itemdqVVX,0.0002005229762289673)* (item618n3,0.0001909316924866289)* (item23scr,0.00018646880926098675) (itemyo43o,0.00018061755690723658)* (itemuaFxY,0.0001388022064929828) (itemSW5s8,0.0001288536295760423) (itemv7Clw,0.00012149450049037114) (itemr7q87,0.00011935879592783749) (itemCVpf3,0.0001109777731471695) (itemwinns,0.0001012470675050281) (item9DjWX,9.880376455839723e-05)* (itemhOGIE,7.949417340569198e-05) (itemTuHK9,7.711563375778496e-05)* (itemvQ7sQ,6.952221156097949e-05) (itemRNQTR,5.3872630815021694e-05) (itemMNxUT,4.945608088746667e-05)
userOLph1: (itemLPkI9,0.0005076230736449361) (item162CY,0.00040966682718135417) (itemHrihE,0.00036044386797584593) (itemgEevH,0.00032067159190773964)* (itempGfZ6,0.00028794861282221973) (itemexwfY,0.00027791541651822627) (item80q9y,0.00025577336782589555) (itemBkBCG,0.000255489198025316) (itemmMX2p,0.0002546188188716769)* (itemqth87,0.00024213007418438792) (items32yz,0.00021742908575106412) (itemjeN5W,0.00021469261264428496)* (item96Uu6,0.00021292992460075766)* (itemw0Hbk,0.00019615955534391105) (itemCVpf3,0.0001865745580289513) (itemABTMM,0.00017832935554906726)* (item0rrNz,0.00017608994676265866) (itemllAnb,0.00016387621872127056) (itemxvrbY,0.00015864837041590363) (itemVHyMp,0.0001484055392211303)
useryDDtx: (itemrT9kO,0.0003916271962225437) (itemWUHgc,0.00037965248338878155) (itemRNQTR,0.00027524842880666256) (itemhOGIE,0.00023455449263565242) (itemmt9Zs,0.0002291903947480023) (itemmMX2p,0.00020645480253733695) (itemPzRe5,0.00020073610357940197)* (itemV1Vwk,0.00018059946887660772) (item178I3,0.0001746598572935909) (itemVHyMp,0.00017459776427131146) (itemVZJC8,0.0001627324236324057) (itemx52zm,0.00015774484199937433)* (itemdqVVX,0.00015485964831896126) (itemvQ7sQ,0.00014881015522405505) (itemySRfm,0.00012919119035359472) (itemiCowm,0.00012540753232315183)* (itemRMr3n,0.0001113942707888782) (itemxwCH9,0.00010748690692707896) (itemVARpF,0.00010332282545277849) (item9DjWX,9.570132533553988e-05)
userwzRLZ: (item80q9y,0.00045255309669300914) (itemuz9u2,0.0004472418804652989) (itemdkR3x,0.0003811777278315276) (itemAlGQe,0.00032005924731492996) (itemgoCpP,0.0003045832272619009) (itemd7GN3,0.0002891129697673023) (itemRy5SF,0.0002652645925991237) (itemMzrpc,0.0002481334959156811) (itemvQ7sQ,0.00024235840828623623) (itemwBj8x,0.00022910800180397928) (itemfL8PL,0.0002100280689774081) (itemsB45O,0.000179844704689458) (item2FMEC,0.00017966589075513184) (itemzexIV,0.00017325556837022305)* (itemmMX2p,0.00016490055713802576) (itemehZbz,0.00015750150487292558) (itemUOpVk,0.00013426231453195214) (itemPOi9Y,8.847715798765421e-05) (itemdC6Wf,8.040884858928621e-05) (itemFzVAJ,7.969725265866145e-05)
userhuvtK: (itemFoRzs,0.0003755826910492033) (item0VuxA,0.00036475504748523235) (item0rrNz,0.0003293135087005794) (itemYOYte,0.0003287052095402032) (itemwAkpa,0.000307885609799996) (itemva2ph,0.000297988677630201) (itemVda4U,0.00028352049412205815)* (itemw0Hbk,0.00027026989846490324) (itemJaOdU,0.00026295811403542757) (itemjIyZN,0.0002566564071457833) (itemkHjKP,0.0002438370429445058)* (itemdoXAn,0.0002327954862266779) (item9lgJn,0.0002289725380251184) (itemQkv6a,0.00021373135678004473) (itemsaQmG,0.00020631049119401723) (itemtXKxm,0.00020332392887212336)* (itemGAqYy,0.00018782977713271976) (itemcAUzH,0.00018610077677294612) (item9muy9,0.00017308423412032425) (itemFsCNW,0.00014984824520070106)
userEiWs5: (itemnO4tX,0.0005558672710321844) (itemY6045,0.0004212856583762914) (itemdqVVX,0.0003515136195346713) (itemgRlgs,0.0002861222601495683) (itemkHjKP,0.0002517137909308076) (itemQkv6a,0.00024336777278222144)* (itemd7GN3,0.00022417769650928676) (itemiCowm,0.00022228326997719705) (itemRNQTR,0.00021647001267410815) (itemAlGQe,0.00020453074830584228)* (itemLDh7R,0.0002040837425738573) (item4FB6e,0.0002034905628534034) (itemdoXAn,0.00019701287965290248) (itemMNxUT,0.00018120363529305905) (itemKe2Er,0.00017685040074866265) (item618n3,0.00016651797341182828) (itemUFxkv,0.00015105644706636667)* (itemg6NgV,0.00013796213897876441)* (itemUiRdE,0.00013428946840576828) (item7XnWI,6.379585101967677e-05)
userGadv3: (itemBmrIx,0.0004714850219897926)* (itemDfuZl,0.00043467828072607517) (itemtXKxm,0.0003146605449728668) (itemEB2ZL,0.00028588331770151854) (itemSEVUh,0.00028560805367305875) (itemPOi9Y,0.0002342222142033279) (itemqD4yX,0.00023172615328803658) (itemIrWce,0.0002313712757313624)* (itemlN5jA,0.00021405033476185054) (itemllUul,0.000198220819584094) (item618n3,0.00018773047486320138) (iteme1aEV,0.0001834207505453378) (itemoSaYE,0.00017218371795024723)* (itemexwfY,0.00015830596385058016) (itemHrihE,0.00015305477427318692) (itemEzeNr,0.00014713165001012385) (itemmbGoj,0.00014479712990578264) (itemBkBCG,0.0001390427933074534) (itemFzVAJ,0.00012129839160479605) (itemWeaex,0.00011445708514656872)
useriqm2l: (itemUyXau,0.00044666382018476725)* (itemx52zm,0.00035262020537629724) (item9DjWX,0.0002883944835048169) (itemGAqYy,0.00026042276294901967)* (itemyo43o,0.00023962100385688245) (itemd9ChJ,0.00023313408019021153) (itemDfuZl,0.00022684458235744387) (itemtXKxm,0.00022553314920514822) (item23scr,0.00022449604875873774) (itemvpxYm,0.0002221530012320727)* (itemguPDr,0.0001757757127052173) (itemva2ph,0.00017201440641656518) (itemr1zoc,0.00016811364912427962) (itemABTMM,0.00015347692533396184) (itemOCA2H,0.0001530645677121356) (itemdjMTE,0.0001524094259366393) (itemsF3jV,0.00015198151231743395) (itemvHkzH,0.00014360171917360276) (itemPn5yf,0.00014305743388831615) (itemYgdNj,0.00012090979726053774)*
userfIZMV: (itemYp8lv,0.0004178064700681716) (itemSrPKx,0.00036380733945406973) (itemFEgKI,0.00033255646121688187) (item03CQ6,0.0003168273251503706) (itemzfaal,0.0003110425896011293) (itemcAUzH,0.0003084158815909177) (itemjeN5W,0.00027719917125068605) (itemgRlgs,0.0002710757835302502) (itemZCI04,0.000261570792645216)* (itemrDLmp,0.00025194277986884117) (itemsaQmG,0.00023390690330415964)* (itemH8gzP,0.000227822209126316)* (item84cQ6,0.00021901208674535155)* (itemmMX2p,0.00020893551118206233) (itemDAINx,0.00017721825861372054) (itemBkBCG,0.0001632602943573147) (itemKckEp,0.00016221613623201847) (itemgEevH,0.0001442326611140743)* (itemSnsYW,0.0001407725503668189)* (itemmbGoj,0.000131664564833045)
user6btfJ: (itemYgdNj,0.00044292715028859675) (itemguPDr,0.0004195307847112417)* (item80q9y,0.0003855073591694236)* (itemKHT0l,0.0003281146055087447) (itemHrihE,0.00027506210608407855) (itemgEevH,0.00024843175197020173) (itemdjMTE,0.0002222214243374765)* (itemRKTJC,0.00021591444965451956) (iteme1aEV,0.0002079133118968457) (itemVHyMp,0.00020296467118896544) (itemUFxkv,0.00020291063992772251) (itemzexIV,0.00020214823598507792) (itemnO4tX,0.000201292714336887) (itemtXKxm,0.00019531599537003785)* (itemlN5jA,0.00019450396939646453) (items32yz,0.00018936707056127489) (itemAzjPR,0.00018894026288762689) (itemAlGQe,0.0001522099773865193) (itemaPbf4,0.00013176127686165273) (itempGfZ6,0.0001293139939662069)
useriL4c2: (itemFoRzs,0.0006172585999593139) (itemguPDr,0.0005598726565949619) (itemf6vR5,0.0005578952259384096) (itemehZbz,0.00044840111513622105) (itemxbm5F,0.0003979707835242152) (itemYOYte,0.0003234097093809396) (itemgoCpP,0.00031082023633643985) (itemOCA2H,0.0002756018075160682) (itemMzrpc,0.00026247440837323666) (itemwAkpa,0.00022855734277982265)* (itemY6045,0.0002283346839249134)* (itemgRlgs,0.00018973123223986477) (item0rrNz,0.00016369062359444797) (itemtXKxm,0.00016228767344728112) (itemhOGIE,0.00014844926772639155) (item9lgJn,0.00012911393423564732)* (itemcAUzH,0.00011206240742467344) (itemr1zoc,0.00011077050294261426) (itemMNxUT,0.00010591807222226635) (item4YMYG,7.954322063596919e-05)*
userYKjNX: (itemcVs96,0.0005385292461141944)* (itemehZbz,0.0003877471317537129) (itemXxPjl,0.0003292486071586609) (itemsB45O,0.0003023913595825434) (itemrT9kO,0.00029228400671854615)* (itemqppyW,0.00026121086557395756) (itemwAkpa,0.0002468032471369952) (item0QA86,0.00021733579342253506) (item0rrNz,0.00018384706345386803) (itemMzrpc,0.00017783160728868097) (itemVHyMp,0.00016420846804976463) (itemdoXAn,0.000158959737746045) (item4YMYG,0.00013938240590505302) (itempLAQY,0.00013630258035846055) (itemFoRzs,0.0001358784211333841) (itemgRlgs,0.00013079197378829122) (itemxbm5F,0.00012080178566975519) (itemWUHgc,0.00010409777314634994) (itemUOpVk,9.777669765753672e-05) (itemAlGQe,9.665230027167127e-05)
userOBLWP: (item03CQ6,0.00044267461635172367) (itempGfZ6,0.0003120611945632845) (itema506d,0.0003017325943801552)* (itemaTHnd,0.0002623458858579397) (itemh9nHh,0.0002622701576910913) (itempLAQY,0.000249956181505695) (itemFoRzs,0.00022673397324979305) (itemN8AZu,0.00022618290677201003)* (itemxwCH9,0.00020997664250899106) (itemup8oB,0.00019648880697786808) (item0MxmA,0.00018078417633660138) (itemxCvQp,0.00016415744903497398) (itemVZJC8,0.0001640532718738541) (itemPzRe5,0.00015264027751982212) (itembuWyf,0.0001446154055884108) (itemy6Af3,0.00014401497901417315) (itemWUHgc,0.00014334367006085813) (itemEZob3,0.00011407610145397484) (itemLDh7R,0.00010657032544258982) (itemqth87,9.787757880985737e-05)
userboi7r: (itemMzrpc,0.0003833804512396455)* (item0QA86,0.0003593456349335611) (itemakzor,0.00031204812694340944) (itemva2ph,0.0002548172778915614) (itemjIyZN,0.0002492751518730074) (itemjeN5W,0.00022379469010047615) (itemcVs96,0.00021241061040200293) (itemLPkI9,0.00020350064733065665) (itemAj7Pj,0.00019357440760359168) (itemup8oB,0.0001876475289463997) (item0MxmA,0.00018361664842814207) (itemEQ5kD,0.00016905898519326001) (itemEZob3,0.0001532699097879231)* (itemWeaex,0.0001517886994406581) (itemh9nHh,0.0001358078297926113) (itemxbm5F,0.00012565197539515793) (itemQStwf,0.00012521137250587344) (itemABTMM,0.00011683833145070821) (itemMNxUT,0.00011295385775156319) (itemvpxYm,0.00010238529648631811)
user9tzLJ: (items32yz,0.0005140785360708833) (itemsB45O,0.00036982758319936693) (item80q9y,0.00028167711570858955) (itemFoRzs,0.00023383920779451728) (itemgRlgs,0.00023346400121226907) (itemRNQTR,0.00023258448345586658) (itemVARpF,0.00022956376778893173) (itemzexIV,0.00020101229893043637) (itemiCowm,0.00019965584215242416) (itemWngsI,0.00019512030121404678)* (itemYOYte,0.00018973085389006883) (itempGfZ6,0.00018932449165731668) (item0VuxA,0.00018562946934252977) (itemXxPjl,0.00018328533042222261)* (itemHrihE,0.00017426005797460675) (itemjmSae,0.00015481741866096854) (itemDF5f3,0.00015131387044675648)* (itemJaOdU,0.0001500760845374316) (itemzfaal,0.00014368035772349685) (itemVZJC8,0.00013153663894627243)
userzioQY: (itemRNQTR,0.0005574299721047282) (items32yz,0.0005255583091638982) (itemMNxUT,0.0004823154304176569) (itemehZbz,0.00043036160059273243) (itemdoXAn,0.00035231930087320507) (itemSnsYW,0.00033113438985310495) (item7XnWI,0.0003283577971160412)* (itemAj7Pj,0.0002898015663959086) (itemexwfY,0.00028555060271173716) (itemFsCNW,0.0002512431237846613) (itemy6Af3,0.00024328539439011365) (itemEQ5kD,0.00022657647787127644) (itemkHjKP,0.00020563027646858245) (item96Uu6,0.0002012593176914379) (itemMzrpc,0.00016792079259175807) (itemRy5SF,0.00015514763072133064) (itemIrWce,0.00013950502034276724) (itemKckEp,0.00013944807869847864) (itemakzor,0.00013841934560332447)* (item6TcLl,0.00013191673497203737)
userRwvwk: (itemzfaal,0.0005779057973995805)* (itemiXwHJ,0.00046366240712814033) (itemCmV8W,0.0004572667821776122)* (items32yz,0.00044816179433837533) (itemFoRzs,0.00044437876204028726)* (itemEB2ZL,0.0004277313710190356)* (itemWeaex,0.0003982108901254833)* (itemDF5f3,0.00028202522662468255) (itemaTHnd,0.00026562053244560957) (itemVda4U,0.00025611219462007284)* (itemyo43o,0.00025085764355026186)* (itemN8AZu,0.00019833420810755342) (item7gr06,0.00018324109259992838) (itemY6045,0.0001764784101396799) (itemg6NgV,0.00015816035738680512) (itemSEVUh,0.00015365124272648245) (itemUOpVk,0.0001514567993581295) (itemSeyqb,0.00014086061855778098) (itemv7Clw,0.00013998939539305866) (itemmMX2p,0.00013649727043230087)
user2Vxqb: (itemf6vR5,0.00043749288306571543) (itemYgdNj,0.0003694396000355482) (itemySRfm,0.00033667386742308736) (itemSW5s8,0.0003257420612499118) (itemlHCkK,0.0002626772620715201)* (itemEzeNr,0.0002620380255393684) (item52xJ8,0.00023961234546732157) (itembuWyf,0.00023024917754810303) (itemguPDr,0.00021114603441674262) (itemEwdGW,0.00018311476742383093) (item7gr06,0.0001731168304104358) (itemKckEp,0.00017137947725132108) (itemAlGQe,0.00017025534179992974) (itemVZJC8,0.00016938977933023125) (itemCVpf3,0.0001689325290499255) (itemjmSae,0.0001676545653026551) (itemDfuZl,0.00015983867342583835)* (itemY6045,0.00015702522068750113) (itemxwCH9,0.0001512052840553224)* (item162CY,0.0001510166475782171)
userLBXk0: (itemCmV8W,0.000469309015898034) (itemwBj8x,0.00041918386705219746) (itemABTMM,0.0003928529913537204) (itemqppyW,0.00038323007174767554) (itemFsCNW,0.00035435939207673073) (item9muy9,0.0003373072831891477) (itemVda4U,0.0002713683352340013) (itemRNQTR,0.00022948176774661988) (itemguPDr,0.00022573475143872201) (itemVZJC8,0.0002202128089265898) (itemUiRdE,0.00021354031923692673) (itemDYrOS,0.00021141213073860854) (itemBkBCG,0.00020084274001419544) (itemy6Af3,0.00019365822663530707)* (item9M3lc,0.00019345615874044597) (itemsF3jV,0.00018595662550069392)* (itemuz9u2,0.0001681404246482998)* (itemv7Clw,0.00014310848200693727) (itemMzrpc,0.00013572859461419284) (itemIrWce,0.00012823118595406413)
useriLMjp: (itemgRlgs,0.00043524388456717134) (itemBmrIx,0.00042280496563762426) (itemSrPKx,0.00040726218139752746)* (itemYp8lv,0.0004056040197610855) (itemVda4U,0.00038687174674123526) (itemehZbz,0.0003852394293062389) (itemqth87,0.00026077538495883346)* (itemyo43o,0.00024408807803411037) (item4FB6e,0.00020483433036133647) (itempGfZ6,0.0001876056776382029)* (itemAzjPR,0.0001694670063443482)* (item6hTeJ,0.00016202585538849235) (itemQkv6a,0.00015381784760393202) (itemSeyqb,0.00014255043060984462)* (itemFEgKI,0.00013066832616459578) (itemoSaYE,0.00012925415649078786) (itemPn5yf,0.0001046864126692526) (itemYOYte,0.00010018103057518601) (itemaTHnd,9.086367936106399e-05) (itemY6045,8.802632510196418e-05)
userh6Cos: (itemIrWce,0.0005371992010623217) (itemSEVUh,0.0003079499292653054) (itemrDLmp,0.0002884800487663597) (itemd7GN3,0.0002734898589551449) (itemvQ7sQ,0.0002676961594261229) (itemSW5s8,0.00025581574300304055) (item31doJ,0.00024601261247880757) (itemr7q87,0.0002136634138878435) (itemQJNS2,0.0002043608110398054) (itemFEgKI,0.00019958261691499501) (itemdjMTE,0.00018884016026277095) (itemFsCNW,0.00018800306133925915) (itemnvCLA,0.0001808404631447047)* (item618n3,0.00018004672892857343) (itemllAnb,0.00017903090338222682) (itemwinns,0.00017570488853380084)* (itemLDh7R,0.00016737956320866942) (itemwBj8x,0.0001522561360616237) (itemcAUzH,0.00013801749446429312)* (itemOCA2H,0.00012744488776661456)
userpbY1g: (itemwAkpa,0.0003826971515081823)* (itemdkR3x,0.0003503233892843127) (itemd7GN3,0.00033165118657052517) (item4FB6e,0.00032699518487788737) (itemSEVUh,0.00027954060351476073) (itemFjQ4M,0.00026137474924325943) (itemiCowm,0.0002393969043623656) (itemsF3jV,0.00020135220256634057) (iteme1aEV,0.00020051331375725567) (itemLDh7R,0.00019963500380981714) (itemKHT0l,0.00018097324937116355)* (item0VuxA,0.0001807071384973824) (itemnvCLA,0.0001761990279192105) (itemDYrOS,0.00017550001211930066)* (itemhOGIE,0.0001697297702776268) (itemMNxUT,0.00015616411110386252) (itemKckEp,0.00014286153600551188) (itemRNQTR,0.00011210211960133165) (item9muy9,9.634642628952861e-05) (itemySRfm,8.870295278029516e-05)*
userEAbmM: (itemh9nHh,0.0005963983712717891)* (itemg6NgV,0.0003587189130485058) (itemmt9Zs,0.00034845140180550516) (itemy6Af3,0.00032837357139214873) (itemkHjKP,0.0003012663219124079) (itemyo43o,0.0002931040071416646) (itemnO4tX,0.0002912020718213171) (itema506d,0.00024179063620977104) (itemABTMM,0.0002273321442771703) (item9M3lc,0.00021432044741231948) (itempGfZ6,0.00019124217214994133) (item84cQ6,0.00015974724374245852)* (itemqF1uc,0.0001590697793290019) (itemlHCkK,0.00013624347047880292)* (itemAzjPR,0.00011955117952311411) (itemwrPNe,0.00010741713776951656) (itemcvY2p,9.582700295140967e-05) (itemBkBCG,9.378850518260151e-05)* (itemPzRe5,9.24889900488779e-05) (itemwBj8x,9.245399996871129e-05)*
userYcsX6: (itemYOYte,0.0004830557736568153) (itempLAQY,0.00043534283759072423) (itemJaOdU,0.00032661837758496404) (item4YMYG,0.00030814146157354116) (itemXxPjl,0.00026048553991131485) (itemsaQmG,0.00022730955970473588) (itemAlGQe,0.00017173711967188865) (itemRKTJC,0.0001499955396866426) (itemEQ5kD,0.00013973336899653077) (itemVARpF,0.00012819068797398359) (itemYgdNj,0.00012636951578315347) (itemexwfY,0.0001034504093695432) (item6hTeJ,9.613628208171576e-05)* (itemxbm5F,9.491722448728979e-05) (itemup8oB,8.48382551339455e-05)* (itemLDh7R,8.072529453784227e-05) (itemguPDr,7.875927985878661e-05) (itemhOGIE,7.810807437635958e-05)* (itemvHkzH,7.79211986809969e-05) (itemeROTS,7.128393917810172e-05)*
user2RzBb: (itemdqVVX,0.0003227358974982053) (itempGfZ6,0.00030326686101034284) (itemrT9kO,0.0003004463214892894) (itemmt9Zs,0.0002974166418425739) (itemVZJC8,0.00025448919041082263) (itemSEVUh,0.00021812313934788108) (itemr1zoc,0.00018352108600083739) (itemDYrOS,0.00016111828153952956)* (itemvQ7sQ,0.0001493087038397789) (itemQkv6a,0.00013339711586013436) (item4YMYG,0.00013202249829191715) (itemmbGoj,0.0001278089766856283) (items32yz,0.00011494063073769212) (item7gr06,0.00011366204125806689)* (itemlHCkK,0.00010656344966264442) (itemqppyW,9.316248178947717e-05) (itemSnsYW,7.828673551557586e-05) (itemjmSae,7.208697934402153e-05) (itemWUHgc,6.863336602691561e-05)* (item2FMEC,5.674031490343623e-05)
user71qa3: (itemr7q87,0.000526591029483825) (itemcVs96,0.0004682689323090017) (itemV1Vwk,0.00045748549746349454) (itemBmrIx,0.0003960372123401612) (itemEQ5kD,0.00038300041342154145) (itemPzRe5,0.000331833609379828) (itemup8oB,0.0002982603618875146) (itemQkv6a,0.0002966982719954103) (itemoSaYE,0.00029369094409048557) (itemdqVVX,0.00026258299476467073) (itemd9ChJ,0.0002596473495941609) (itemmMX2p,0.0002580324944574386) (itemqth87,0.00025757867842912674)* (itemDF5f3,0.00024214503355324268)* (itemdC6Wf,0.00023857588530518115) (itemBkBCG,0.0002313570585101843)* (itemVHyMp,0.00022659622482024133) (item4YMYG,0.00022381532471626997)* (itemDYrOS,0.00021748928702436388) (iteme1aEV,0.00021173189452383667)
userAZO9y: (itemxwCH9,0.0003000026335939765)* (itemgRlgs,0.00023162558500189334) (itemdjMTE,0.0002090018824674189) (itemvQ7sQ,0.00018659581837709993) (itembHmsT,0.00016546074766665697) (itemVHyMp,0.0001630178012419492) (itemjIyZN,0.00014586362522095442) (itemaTHnd,0.0001202643325086683) (itemllAnb,0.00011927635932806879) (item618n3,0.0001143622794188559) (itemMpeEL,9.448997298022732e-05) (itemEzeNr,9.04600165085867e-05) (itemRNQTR,8.830312435748056e-05) (item9lgJn,7.120013469830155e-05) (itemcAUzH,6.923393812030554e-05)* (itemnvCLA,6.895374099258333e-05) (itemQStwf,6.881485023768619e-05) (item1PK0V,5.84031076868996e-05) (itemHrihE,5.0700371502898633e-05) (itemBuZOt,4.5590615627588704e-05)*
userwC8yX: (itemLPkI9,0.000484392570797354)* (itemxwCH9,0.000315337092615664) (itemDfuZl,0.0002978229313157499)* (itemAj7Pj,0.0002434934431221336)* (itemZIbqG,0.00022036134032532573) (itemEZob3,0.0002175401314161718) (item9M3lc,0.00019032254931516945) (itemgRlgs,0.00018827116582542658) (itemdC6Wf,0.00017509196186438203) (item03CQ6,0.00016652137855999172) (itemFoRzs,0.0001617665693629533)* (itemnvCLA,0.00015284870460163802)* (itemlHCkK,0.0001447080576326698) (itempGfZ6,0.00013580615632236004) (itempLAQY,0.00012354632781352848) (itemDAINx,0.00011778419138863683) (item162CY,0.00010185477003687993)* (itemva2ph,9.942871110979468e-05) (itemTAGOA,9.654993482399732e-05)* (itemUyXau,9.453293023398146e-05)
user1eta7: (itemMpeEL,0.0004916281905025244) (itemxvrbY,0.0004451445129234344) (itemWngsI,0.00034606707049533725) (itemiCowm,0.00024790357565507293) (itemO64Fe,0.00022571440786123276) (itemKHT0l,0.00022117653861641884) (itemXxPjl,0.00021682618535123765) (item31doJ,0.00018634326988831162) (itemVda4U,0.00018471000657882541) (itemgRlgs,0.00018039671704173088)* (itempLAQY,0.0001787231012713164) (itemxbm5F,0.00016591371968388557) (itemdqVVX,0.00015384644211735576) (itemQkv6a,0.00014832465967629105) (itemLPkI9,0.00014738777827005833) (itemZIbqG,0.0001446121750632301)* (itemMNxUT,0.00014180592552293092) (itemLDh7R,0.00012025513569824398) (itemAlGQe,0.0001183840140583925) (itemMzrpc,0.00010738126002252102)
userYkF7h: (item9M3lc,0.0003351880586706102) (iteme1aEV,0.0002948118490166962) (itembHmsT,0.0002485440927557647)* (itemrT9kO,0.00023579542175866663)* (itemsB45O,0.00021301461674738675) (itemd9ChJ,0.00021220615599304438) (itemRMr3n,0.0001891524880193174) (itemUFxkv,0.000186897290404886) (item80q9y,0.0001826984080253169)* (itemjmSae,0.00015825609443709254) (itemRy5SF,0.0001573593617649749) (itemxbm5F,0.0001460811763536185) (itemAzjPR,0.00013304429012350738) (itemFzVAJ,0.00013209274038672447) (itemGgwft,0.0001291837397729978) (itemcvY2p,0.00012825911107938737)* (itemy6Af3,0.00012201545177958906) (itemfL8PL,0.00011006524437107146) (itemAj7Pj,0.00010747385385911912) (itemoSaYE,8.853079634718597e-05)*
userIqRCa: (itemVda4U,0.00053999392548576)* (itemZCI04,0.0004229559563100338) (itemV1Vwk,0.00041495150071568787) (itemPzRe5,0.00032652844674885273) (itemfL8PL,0.0003221621154807508) (item03CQ6,0.00029282973264344037) (itemVZJC8,0.0002901165862567723) (itemr7q87,0.0002742428332567215)* (itemhOGIE,0.0002607566711958498) (itemMpeEL,0.00024624011712148786) (item0QA86,0.0002378947683610022) (itemBmrIx,0.0002123749436577782)* (itemmMX2p,0.0002120241115335375) (item9M3lc,0.00020705130009446293) (itemg6NgV,0.00020451724412851036) (iteme1aEV,0.00020199810387566686) (itemYgdNj,0.0002004403795581311)* (itemBuZOt,0.00019573463941924274) (itemQkv6a,0.0001739020663080737)* (itemSeyqb,0.0001464425295125693)
userbfNOX: (itemJaOdU,0.00044210453052073717) (itemCmV8W,0.0003661171067506075) (itemtXKxm,0.00035214656963944435) (itemqppyW,0.00034863693872466683) (itemTuHK9,0.00032047225977294147) (itemexwfY,0.00028336880495771766) (itemqF1uc,0.00024620446492917836) (iteme5OvS,0.0002386114647379145) (item31doJ,0.00019031050032936037) (itemEwdGW,0.00018893423839472234) (itemg6NgV,0.00018834139336831868) (item618n3,0.00018560932949185371) (itemMNxUT,0.0001769365626387298) (item9DjWX,0.00016761390725150704) (item6hTeJ,0.00014747711247764528)* (item96Uu6,0.0001315773552050814) (itemRKTJC,0.00011912353511434048)* (itemBkBCG,0.00011701537005137652) (itemgoCpP,0.00011668767547234893) (itemHrihE,0.00011402028758311644)
userLS2Nz: (itemzfaal,0.00046422393643297255) (itemAj7Pj,0.00033614184940233827) (itemvpxYm,0.000325002329191193) (itemtXKxm,0.0003236873890273273) (itemgEevH,0.00030726310797035694) (itemySRfm,0.00024621846387162805)* (itemyo43o,0.00024528999347239733) (item96Uu6,0.00024247652618214488) (itemRMr3n,0.00020043818221893162) (itemSEVUh,0.0001970536250155419) (itemcvY2p,0.00013790291268378496)* (itemAzjPR,0.00012818031245842576) (itemZIbqG,0.00012759637320414186) (itemFEgKI,0.0001235412055393681) (itemdjMTE,0.0001194481155835092) (itemRKTJC,0.00011284489301033318) (itemjmSae,0.00010187478619627655) (itemxbm5F,9.143150236923248e-05) (itemLDh7R,9.129529644269496e-05) (itemcAUzH,7.869861292419955e-05)*
